dataset,config,seed,n_folds,rul_mae_mean,rul_mae_std,rul_mae_median,rul_mae_q25,rul_mae_q75,rul_mae_worst,rul_rmse_mean,rul_rmse_std,rul_r2_mean,rul_r2_std,rul_mae_hours_mean,rul_mae_hours_std,rul_mae_hours_median,rul_mae_hours_q25,rul_mae_hours_q75,rul_mae_hours_worst,rul_rmse_hours_mean,rul_rmse_hours_std,rul_phm_score_mean,rul_phm_score_std,rul_asym_score_mean,rul_asym_score_std,first_warning_mean,first_warning_std,lead_time_mean,lead_time_std,false_alarm_rate_mean,false_alarm_rate_std,mtoi_rmse_mean,mtoi_rmse_std,mtoi_spearman_mean,mtoi_spearman_std,mtoi_spearman_signed_mean,mtoi_spearman_signed_std,mtoi_spearman_vs_deg_mean,mtoi_spearman_vs_deg_std,mtoi_monotonicity_mean,mtoi_monotonicity_std,stage_acc_mean,stage_acc_std,stage_macro_f1_mean,stage_macro_f1_std,stage_bal_acc_mean,stage_bal_acc_std
xjtu_sy,abl_E_only,42,15,0.2511,0.094,0.2582,0.1719,0.2701,0.4745,0.2985,0.1154,0.085,0.6885,1.5714,2.2213,0.557,0.3142,1.2744,6.5803,1.8602,2.6056,398.0172,874.7407,2.4323,3.6305,507.2667,867.3331,65.2667,66.0157,0.1213,0.25,0.1619,0.1075,0.6101,0.3373,-0.601,0.3543,0.601,0.3543,0.0649,0.0838,0.4228,0.2385,0.2122,0.1316,0.3008,0.1122
xjtu_sy,abl_cond_noaux,42,15,0.2429,0.0747,0.2481,0.2014,0.2776,0.4166,0.2861,0.0958,0.1854,0.5274,1.6218,2.3603,0.4856,0.3586,1.234,7.1874,1.8616,2.6648,384.3545,845.8163,2.3321,3.4807,403.8,834.0055,57.2,62.5177,0.0945,0.2321,0.387,0.1173,0.4835,0.3493,-0.0148,0.6101,0.0148,0.6101,0.0432,0.054,0.3015,0.2722,0.1416,0.1267,0.2591,0.134
xjtu_sy,abl_no_idxhead,42,15,0.2457,0.0873,0.2355,0.198,0.2624,0.5028,0.2916,0.1093,0.1339,0.724,1.536,2.1979,0.5682,0.3482,1.0594,6.6882,1.7983,2.5248,370.6301,812.4002,2.3171,3.4564,514.8,798.0766,90.4667,108.6553,0.11,0.2411,0.1596,0.1474,0.5781,0.3506,-0.5242,0.4319,0.5242,0.4319,0.0484,0.0374,0.2081,0.2054,0.1403,0.1033,0.2532,0.1227
xjtu_sy,abl_no_mono,42,15,0.252,0.0883,0.2534,0.1891,0.2727,0.4642,0.2971,0.1106,0.1016,0.6701,1.5922,2.2279,0.5245,0.3178,1.2698,6.7304,1.8596,2.562,375.3838,806.3982,2.3894,3.5048,542.1333,845.2126,63.1333,69.9223,0.1041,0.2429,0.1866,0.1489,0.6163,0.2945,-0.5482,0.4144,0.5482,0.4144,0.0603,0.0513,0.2215,0.2269,0.1129,0.1038,0.2122,0.1247
xjtu_sy,abl_no_smooth,42,15,0.2415,0.0709,0.2588,0.1931,0.2716,0.4245,0.2848,0.09,0.2014,0.5047,1.6044,2.3791,0.4797,0.3376,1.1227,7.2697,1.855,2.6928,378.4466,823.9881,2.303,3.4489,496.5333,834.8315,76.0,73.9053,0.1104,0.2392,0.1659,0.1165,0.598,0.3878,-0.5953,0.3922,0.5953,0.3922,0.0824,0.0732,0.1585,0.1255,0.1072,0.0813,0.2042,0.1146
xjtu_sy,cnn_bilstm_attn_vib,42,15,0.2717,0.0595,0.2901,0.2329,0.3023,0.4038,0.3221,0.0838,0.0059,0.5131,1.7779,2.5474,0.6461,0.3565,1.4757,7.613,2.2095,3.382,623.0403,1531.3178,2.8924,4.5624,247.7333,632.9073,22.9333,47.9054,0.0383,0.1123,0.3716,0.063,0.4449,0.2931,0.2231,0.4947,-0.2231,0.4947,0.0502,0.0836,0.3292,0.2534,0.1481,0.0917,0.2464,0.1339
xjtu_sy,ctl_EC,42,15,0.2537,0.077,0.2636,0.1941,0.2766,0.4042,0.2943,0.0947,0.1441,0.5435,1.6014,2.2218,0.5213,0.333,1.3138,6.6874,1.821,2.5097,372.3549,812.8462,2.3404,3.4593,423.1333,828.993,72.9333,93.4899,0.1276,0.2553,0.1641,0.1196,0.6508,0.2687,-0.6097,0.3575,0.6097,0.3575,0.036,0.0296,0.2683,0.2631,0.1481,0.1355,0.2381,0.138
xjtu_sy,ctl_elapsed,42,15,0.2231,0.0866,0.2421,0.1592,0.2572,0.4597,0.2765,0.1122,0.2053,0.6462,1.458,2.1581,0.4271,0.3026,1.0796,6.4184,1.7597,2.5002,360.8131,780.0942,2.2938,3.4276,538.9333,862.6657,58.1333,61.0513,0.0964,0.2298,0.1514,0.1199,0.5666,0.3626,-0.497,0.4592,0.497,0.4592,0.0606,0.0573,0.2573,0.2559,0.1315,0.1301,0.2278,0.136
xjtu_sy,ctl_hc10,42,15,0.2386,0.0981,0.2391,0.1859,0.2639,0.526,0.2818,0.1165,0.171,0.7594,1.5365,2.228,0.5943,0.3405,1.1289,6.9788,1.7954,2.585,388.754,871.1442,2.3524,3.6086,551.9333,871.7981,53.3333,57.5781,0.0983,0.2299,0.17,0.1365,0.6257,0.3114,-0.5655,0.4169,0.5655,0.4169,0.0597,0.0622,0.2404,0.2086,0.1244,0.0845,0.2773,0.1026
xjtu_sy,ctl_lifefrac,42,15,0.1203,0.0793,0.0929,0.0544,0.1399,0.2643,0.1426,0.0934,0.7428,0.3168,1.034,1.8435,0.19,0.0767,0.8049,6.4266,1.2196,2.1574,251.0355,615.0503,1.5932,2.9079,500.2667,786.9399,80.4,115.7083,0.0021,0.0081,0.1593,0.1456,0.6371,0.3049,-0.5998,0.3773,0.5998,0.3773,0.0758,0.0799,0.2388,0.2525,0.1079,0.1086,0.2185,0.1084
xjtu_sy,ctl_nodeg,42,15,0.2412,0.0989,0.2474,0.1691,0.2633,0.522,0.284,0.1219,0.1492,0.7924,1.5197,2.2155,0.5899,0.3077,1.0808,6.7586,1.7583,2.5348,369.6068,812.896,2.2846,3.472,527.6,827.169,77.6667,66.91,0.116,0.2488,0.1567,0.1324,0.6263,0.3066,-0.6234,0.3128,0.6234,0.3128,0.0663,0.0645,0.275,0.2188,0.145,0.0807,0.2586,0.1039
xjtu_sy,ctl_random,42,15,0.2395,0.0936,0.2424,0.1649,0.2666,0.5087,0.2841,0.1167,0.159,0.7532,1.5559,2.2922,0.5748,0.2966,1.0924,6.7537,1.8103,2.6073,374.1798,817.1583,2.3138,3.4822,484.8667,814.6824,87.6667,100.6328,0.1017,0.2399,0.1599,0.1221,0.5992,0.3579,-0.5421,0.4448,0.5421,0.4448,0.0504,0.0359,0.3098,0.2657,0.1865,0.1531,0.3077,0.1697
xjtu_sy,ctl_scalar,42,15,0.2384,0.079,0.2401,0.1797,0.2691,0.4388,0.2806,0.1028,0.2017,0.5924,1.5351,2.2055,0.538,0.3075,1.1153,6.5885,1.7847,2.5264,364.8633,789.1462,2.3107,3.4145,403.2667,809.1544,68.2667,68.6591,0.1039,0.2498,0.1673,0.1047,0.5833,0.3537,-0.536,0.4264,0.536,0.4264,0.0716,0.0657,0.1691,0.1809,0.1039,0.1072,0.2118,0.1411
xjtu_sy,ctl_shuffled,42,15,0.2409,0.0812,0.2455,0.1891,0.2676,0.4714,0.2824,0.1045,0.1901,0.6489,1.5347,2.1891,0.5327,0.338,1.141,6.443,1.808,2.5958,390.3664,854.7585,2.3653,3.5833,544.0667,852.0567,61.2,61.4947,0.0997,0.2362,0.1541,0.1001,0.6106,0.3427,-0.5829,0.391,0.5829,0.391,0.0611,0.0629,0.2948,0.224,0.1469,0.0872,0.2523,0.0972
xjtu_sy,tcn_transformer_vib,42,15,0.2832,0.0813,0.2946,0.2592,0.297,0.5268,0.3193,0.0952,0.0071,0.6869,1.6866,2.371,0.5953,0.3903,1.1909,7.3401,1.9187,2.7237,422.0887,938.6664,2.5234,3.7181,224.6,630.192,34.7333,60.6977,0.0693,0.2354,0.3662,0.0847,0.5507,0.2526,-0.1654,0.5996,0.1654,0.5996,0.0588,0.0644,0.2713,0.2019,0.1237,0.0572,0.2494,0.0359
xjtu_sy,tcn_vib,42,15,0.2817,0.1124,0.2819,0.1733,0.295,0.5026,0.3282,0.1321,-0.1174,0.8601,1.7582,2.4815,0.746,0.3114,1.418,7.3215,2.0194,2.7979,406.0711,865.9024,2.5385,3.6218,412.8667,843.2138,48.1333,56.5229,0.0916,0.236,0.5449,0.2047,0.5527,0.2779,-0.1016,0.6272,0.1016,0.6272,0.0517,0.0612,0.2803,0.2534,0.1398,0.13,0.2357,0.1414
xjtu_sy,transformer_vib,42,15,0.2465,0.083,0.244,0.2097,0.2668,0.4899,0.2923,0.1017,0.1435,0.6639,1.5831,2.2667,0.5535,0.3492,1.2169,6.7614,1.8435,2.59,373.3933,807.2448,2.3765,3.4514,382.1333,777.302,67.8667,110.3642,0.1006,0.24,0.3506,0.0613,0.5895,0.2752,0.0187,0.6691,-0.0187,0.6691,0.0409,0.0445,0.2203,0.2241,0.1344,0.1122,0.2769,0.1126
xjtu_sy,vtoi_static,42,15,0.2479,0.0867,0.252,0.1931,0.2868,0.4428,0.2898,0.1068,0.1474,0.597,1.5738,2.2247,0.5258,0.3487,1.1957,6.3931,1.8171,2.5685,382.4684,839.3967,2.3542,3.4894,433.6,829.5983,48.0667,50.0763,0.0971,0.2383,0.1689,0.1183,0.5864,0.3131,-0.5456,0.384,0.5456,0.384,0.0402,0.0285,0.2814,0.2683,0.1599,0.1418,0.2455,0.1697
xjtu_sy,vtoi_traj,42,15,0.2455,0.0645,0.2463,0.2154,0.2668,0.3996,0.2886,0.0858,0.1876,0.4831,1.5861,2.2633,0.513,0.3343,1.2122,6.7027,1.8204,2.5654,383.7601,845.2655,2.358,3.5348,545.8667,856.7517,59.4,62.604,0.0837,0.1728,0.1595,0.1102,0.6108,0.3238,-0.6095,0.3263,0.6095,0.3263,0.0761,0.0739,0.2595,0.2692,0.1333,0.1278,0.1993,0.1522
