dataset,config,seed,n_folds,rul_mae_mean,rul_mae_std,rul_mae_median,rul_mae_q25,rul_mae_q75,rul_mae_worst,rul_rmse_mean,rul_rmse_std,rul_r2_mean,rul_r2_std,rul_mae_hours_mean,rul_mae_hours_std,rul_mae_hours_median,rul_mae_hours_q25,rul_mae_hours_q75,rul_mae_hours_worst,rul_rmse_hours_mean,rul_rmse_hours_std,rul_phm_score_mean,rul_phm_score_std,rul_asym_score_mean,rul_asym_score_std,first_warning_mean,first_warning_std,lead_time_mean,lead_time_std,false_alarm_rate_mean,false_alarm_rate_std,mtoi_rmse_mean,mtoi_rmse_std,mtoi_spearman_mean,mtoi_spearman_std,mtoi_spearman_signed_mean,mtoi_spearman_signed_std,mtoi_spearman_vs_deg_mean,mtoi_spearman_vs_deg_std,mtoi_monotonicity_mean,mtoi_monotonicity_std,stage_acc_mean,stage_acc_std,stage_macro_f1_mean,stage_macro_f1_std,stage_bal_acc_mean,stage_bal_acc_std
pronostia,abl_E_only,44,17,0.2613,0.0389,0.2784,0.2435,0.284,0.3032,0.2987,0.045,0.1733,0.2272,0.618,0.3528,0.4775,0.3561,0.8841,1.1598,0.7126,0.414,108.7624,98.9217,0.9112,0.5432,949.1765,822.648,409.0588,657.0219,0.0015,0.0041,0.1367,0.0932,0.3498,0.2767,-0.2949,0.3379,0.2949,0.3379,0.0118,0.008,0.2309,0.2203,0.1186,0.0976,0.2284,0.1268
pronostia,abl_cond_noaux,44,17,0.2649,0.0328,0.2689,0.2371,0.2875,0.3166,0.3031,0.0366,0.1548,0.1935,0.6414,0.3781,0.472,0.3594,0.9893,1.155,0.7353,0.4319,115.4381,107.4606,0.9458,0.5704,929.8235,746.1723,368.3529,648.0706,0.0057,0.0223,0.3486,0.0968,0.3388,0.2379,0.0933,0.4115,-0.0933,0.4115,0.0163,0.0151,0.2284,0.187,0.1182,0.0763,0.2438,0.0485
pronostia,abl_no_idxhead,44,17,0.2732,0.0461,0.2806,0.2483,0.2902,0.3872,0.3123,0.0561,0.0883,0.3301,0.6511,0.3791,0.5136,0.36,1.0122,1.1909,0.7458,0.435,116.0417,108.6411,0.9512,0.593,1105.2353,853.4715,357.8235,648.7614,0.0271,0.1084,0.1176,0.0617,0.3736,0.2894,-0.2675,0.395,0.2675,0.395,0.0201,0.0186,0.2691,0.2059,0.1314,0.0881,0.2519,0.0845
pronostia,abl_no_mono,44,17,0.2653,0.0449,0.2748,0.248,0.2886,0.3493,0.3031,0.0537,0.1416,0.2878,0.6403,0.3808,0.4773,0.3597,0.969,1.1977,0.7307,0.4335,113.4347,105.7952,0.9243,0.5789,989.2941,824.6798,420.1765,695.3218,0.0245,0.0983,0.1157,0.0632,0.3547,0.3141,-0.2598,0.4008,0.2598,0.4008,0.0194,0.0127,0.3028,0.2541,0.1539,0.115,0.2505,0.1188
pronostia,abl_no_smooth,44,17,0.2663,0.0448,0.2789,0.2671,0.2894,0.3413,0.3023,0.0517,0.1482,0.2633,0.6335,0.3689,0.4818,0.3575,0.9727,1.1875,0.7227,0.4261,112.3201,104.8926,0.9284,0.5818,1032.8235,865.4634,379.0,666.536,0.0115,0.045,0.1212,0.066,0.3226,0.2795,-0.2512,0.3488,0.2512,0.3488,0.0123,0.0091,0.2575,0.2066,0.151,0.0866,0.2685,0.0548
pronostia,cnn_bilstm_attn_vib,44,17,0.3366,0.051,0.3483,0.3055,0.3635,0.4097,0.3774,0.0582,-0.3209,0.3652,0.7926,0.4624,0.5335,0.445,1.2124,1.5345,0.8885,0.5217,136.8257,131.0542,1.0231,0.6299,88.2353,277.5879,148.0,473.6625,0.0773,0.2472,0.3582,0.0533,0.2849,0.2503,0.032,0.3844,-0.032,0.3844,0.0093,0.0089,0.1521,0.1062,0.1127,0.0954,0.2473,0.1176
pronostia,ctl_EC,44,17,0.2724,0.0451,0.2835,0.254,0.2998,0.368,0.3086,0.0534,0.1113,0.2997,0.6532,0.3825,0.5076,0.3598,0.9764,1.1863,0.7379,0.4298,115.0044,106.668,0.9356,0.5731,973.5294,831.0727,356.6471,646.5719,0.0216,0.085,0.1159,0.0673,0.2926,0.3054,-0.2488,0.3442,0.2488,0.3442,0.0093,0.0061,0.2039,0.1717,0.1247,0.0989,0.2632,0.0976
pronostia,ctl_elapsed,44,17,0.2569,0.0397,0.2559,0.2383,0.282,0.3441,0.2961,0.0467,0.1862,0.2475,0.6056,0.3438,0.5051,0.3239,0.9087,1.1501,0.6902,0.3827,104.4526,97.0509,0.8539,0.4847,1095.1765,733.4995,231.9412,410.8078,0.017,0.0695,0.1162,0.0645,0.2974,0.2676,-0.2719,0.2951,0.2719,0.2951,0.0168,0.0119,0.2781,0.2218,0.1452,0.0899,0.2587,0.0712
pronostia,ctl_hc10,44,17,0.2675,0.0348,0.2707,0.2664,0.2857,0.3127,0.3046,0.0418,0.143,0.2142,0.6532,0.3962,0.5061,0.3669,1.0188,1.2073,0.7471,0.4591,119.9102,115.7209,0.9727,0.6334,1094.4706,932.0795,324.4118,640.5964,0.0124,0.0486,0.1291,0.0902,0.3748,0.2946,-0.2925,0.381,0.2925,0.381,0.0106,0.0077,0.1676,0.1783,0.0849,0.0649,0.2146,0.0675
pronostia,ctl_lifefrac,44,17,0.1134,0.0551,0.0994,0.0742,0.1323,0.2485,0.1347,0.0658,0.7983,0.2054,0.2683,0.2013,0.2416,0.1363,0.3495,0.8872,0.3167,0.2287,44.8416,53.8433,0.3608,0.2749,1107.0,635.4066,356.0588,352.0399,0.0085,0.0345,0.1195,0.0674,0.3907,0.2652,-0.2989,0.3709,0.2989,0.3709,0.0159,0.0095,0.1473,0.1372,0.0896,0.0649,0.2212,0.0967
