dataset,config,holdout,seed,n_train_bearings,n_test_windows,hi_cols,vtoi_a,vtoi_b,vtoi_fitness,vtoi_sat_frac_test,rul_mae,rul_rmse,rul_r2,rul_mae_hours,rul_rmse_hours,rul_phm_score,rul_asym_score,first_warning,lead_time,false_alarm_rate,mtoi_rmse,mtoi_spearman,mtoi_spearman_signed,mtoi_spearman_vs_deg,mtoi_monotonicity,stage_acc,stage_macro_f1,stage_bal_acc
xjtu_sy,vtoi_static,35Hz12kN_Bearing1_1,42,13,1845,E_norm|C_norm|VTOI,1.0,0.0,0.921294,0.0,0.1189483031630516,0.1310501098632812,0.8459358482328276,0.1451169401407241,0.159881129860878,1.523087294714621,0.1937997786676496,86,36,0.0,0.0720621421933174,0.8890338068749815,-0.8890338068749815,0.8890338068749815,0.0327868852459016,0.7235772357723578,0.3528562898089172,0.40625
xjtu_sy,vtoi_traj,35Hz12kN_Bearing1_1,42,13,1845,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,1.0,0.0,0.921294,0.0,0.1418092399835586,0.1576150506734848,0.7771450748015987,0.1730072647333145,0.1922903805971145,1.863600681402507,0.2466535592163966,104,18,0.0,0.1184689030051231,0.9077302488668514,-0.9077302488668514,0.9077302488668514,0.1475409836065573,0.6504065040650406,0.2774370208105148,0.3125
xjtu_sy,transformer_vib,35Hz12kN_Bearing1_1,42,13,1845,,1.0,0.0,0.921294,0.0,0.1668426543474197,0.188332661986351,0.6818161751111789,0.2035480588674545,0.229765847325325,2.2724235194426767,0.3156734753127505,-1,0,0.0,0.3190909326076507,0.8205046173217454,0.8205046173217454,-0.8205046173217454,0.0163934426229508,0.2032520325203252,0.1077586206896551,0.2638888888888889
xjtu_sy,tcn_vib,35Hz12kN_Bearing1_1,42,13,1845,,1.0,0.0,0.921294,0.0,0.1809766888618469,0.201821893453598,0.634604360939558,0.2207915335893631,0.2462227046489715,2.402564340480697,0.3206688906785434,119,3,0.0,0.365562230348587,0.8062457485182525,-0.8062457485182525,0.8062457485182525,0.0655737704918032,0.1626016260162601,0.144927536231884,0.2083333333333333
xjtu_sy,tcn_transformer_vib,35Hz12kN_Bearing1_1,42,13,1845,,1.0,0.0,0.921294,0.0,0.2971519529819488,0.3339557945728302,-0.0004715650161148,0.3625253736972809,0.4074260294437408,4.019146838390463,0.5393567046195995,-1,0,0.0,0.353083997964859,0.5941590294607474,0.5941590294607474,-0.5941590294607474,0.0245901639344262,0.056910569105691,0.0269230769230769,0.25
xjtu_sy,cnn_bilstm_attn_vib,35Hz12kN_Bearing1_1,42,13,1845,,1.0,0.0,0.921294,0.0,0.2154262214899063,0.235478475689888,0.502573102276983,0.2628199756145477,0.2872837483882904,2.903950084137892,0.3948370256741357,120,2,0.0,0.3328232169151306,0.7602957834182398,0.7602957834182398,-0.7602957834182398,0.1475409836065573,0.073170731707317,0.0775862068965517,0.09375
xjtu_sy,abl_no_idxhead,35Hz12kN_Bearing1_1,42,13,1845,,1.0,0.0,0.921294,0.0,0.1423123180866241,0.1605496108531952,0.7687694159865563,0.1736210286617279,0.1958705335855484,1.8693084018416424,0.2467329637488214,89,33,0.0,0.0781996920704841,0.882837195665987,-0.882837195665987,0.882837195665987,0.0655737704918032,0.7479674796747967,0.3887096774193548,0.5
xjtu_sy,abl_cond_noaux,35Hz12kN_Bearing1_1,42,13,1845,E_norm|C_norm|VTOI,1.0,0.0,0.921294,0.0,0.126569002866745,0.1460118889808654,0.808749174255317,0.1544141918420791,0.1781345158815384,1.672943819021786,0.2234719673974242,95,27,0.0,0.3652718067169189,0.7302939515598336,-0.7302939515598336,0.7302939515598336,0.081967213114754,0.7479674796747967,0.3920719520319786,0.5
xjtu_sy,abl_E_only,35Hz12kN_Bearing1_1,42,13,1845,E_norm,1.0,0.0,0.921294,0.0,0.1373316496610641,0.155979111790657,0.7817472309590565,0.1675446182489395,0.1902945339679718,1.8111414865429976,0.2408767041818398,110,12,0.0,0.1303758025169372,0.9029861766294276,-0.9029861766294276,0.9029861766294276,0.2950819672131147,0.7398373983739838,0.4189598238855255,0.4861111111111111
xjtu_sy,abl_no_smooth,35Hz12kN_Bearing1_1,42,13,1845,E_norm|C_norm|VTOI,1.0,0.0,0.921294,0.0,0.1329139620065689,0.1497436612844467,0.7988482972897897,0.1621550470590591,0.1826872676610946,1.7427944228315853,0.2300175752763341,102,20,0.0,0.1130885183811187,0.9153993881158328,-0.9153993881158328,0.9153993881158328,0.2459016393442623,0.2520325203252032,0.2368801652892562,0.3680555555555556
