dataset,config,seed,n_folds,rul_mae_mean,rul_mae_std,rul_mae_median,rul_mae_q25,rul_mae_q75,rul_mae_worst,rul_rmse_mean,rul_rmse_std,rul_r2_mean,rul_r2_std,rul_mae_hours_mean,rul_mae_hours_std,rul_mae_hours_median,rul_mae_hours_q25,rul_mae_hours_q75,rul_mae_hours_worst,rul_rmse_hours_mean,rul_rmse_hours_std,rul_phm_score_mean,rul_phm_score_std,rul_asym_score_mean,rul_asym_score_std,first_warning_mean,first_warning_std,lead_time_mean,lead_time_std,false_alarm_rate_mean,false_alarm_rate_std,mtoi_rmse_mean,mtoi_rmse_std,mtoi_spearman_mean,mtoi_spearman_std,mtoi_spearman_signed_mean,mtoi_spearman_signed_std,mtoi_spearman_vs_deg_mean,mtoi_spearman_vs_deg_std,mtoi_monotonicity_mean,mtoi_monotonicity_std,stage_acc_mean,stage_acc_std,stage_macro_f1_mean,stage_macro_f1_std,stage_bal_acc_mean,stage_bal_acc_std
pronostia,abl_E_only,43,17,0.2711,0.0434,0.2766,0.2666,0.2926,0.3569,0.3123,0.0492,0.0946,0.2703,0.6437,0.3732,0.4735,0.3651,0.9946,1.1922,0.7392,0.4243,112.3278,103.5947,0.9154,0.5367,1034.7059,849.0384,384.1765,659.3,0.0232,0.0854,0.1207,0.0621,0.3306,0.2838,-0.2796,0.337,0.2796,0.337,0.014,0.011,0.1639,0.1673,0.0943,0.084,0.2134,0.1051
pronostia,abl_cond_noaux,43,17,0.2666,0.0426,0.2803,0.2647,0.2892,0.3046,0.3044,0.0483,0.1392,0.2337,0.6323,0.3718,0.4503,0.3787,0.9921,1.1865,0.7209,0.4244,111.8962,104.8948,0.9267,0.5683,939.1176,820.6329,286.2353,494.2216,0.0047,0.0187,0.3842,0.0831,0.265,0.2919,-0.1086,0.3838,0.1086,0.3838,0.0113,0.0074,0.223,0.2149,0.1175,0.0818,0.2365,0.0895
pronostia,abl_no_idxhead,43,17,0.2718,0.0382,0.2829,0.2674,0.2912,0.3245,0.3093,0.0438,0.1158,0.2264,0.6495,0.3791,0.4919,0.3608,0.9912,1.1825,0.7379,0.4308,114.8997,107.4942,0.9391,0.5777,919.4706,743.2732,410.7059,652.1153,0.0126,0.0445,0.1194,0.0546,0.2817,0.2755,-0.2006,0.3427,0.2006,0.3427,0.0181,0.0179,0.33,0.2679,0.1506,0.1199,0.251,0.1087
pronostia,abl_no_mono,43,17,0.2674,0.0571,0.279,0.2659,0.2929,0.3851,0.3087,0.067,0.097,0.3524,0.621,0.3575,0.4655,0.3836,0.9619,1.167,0.7158,0.415,107.632,101.349,0.8924,0.5492,1004.2941,881.9037,389.0588,666.2577,0.0287,0.1124,0.1192,0.0513,0.3583,0.2735,-0.2465,0.3829,0.2465,0.3829,0.0143,0.0138,0.2601,0.254,0.1399,0.1202,0.2562,0.1022
pronostia,abl_no_smooth,43,17,0.2662,0.0405,0.2769,0.261,0.287,0.3239,0.3046,0.0467,0.1398,0.2325,0.6295,0.3611,0.4618,0.3592,0.9895,1.1518,0.7215,0.4187,111.9791,104.4904,0.929,0.5629,1030.9412,831.5197,387.9412,639.7502,0.0107,0.041,0.1205,0.0587,0.3263,0.2779,-0.1909,0.3894,0.1909,0.3894,0.0111,0.0084,0.1645,0.18,0.0949,0.0848,0.1986,0.0848
pronostia,cnn_bilstm_attn_vib,43,17,0.3535,0.0456,0.338,0.3303,0.3606,0.4841,0.3951,0.0559,-0.4431,0.4421,0.8369,0.487,0.6867,0.4784,1.3453,1.6591,0.9343,0.546,142.3832,135.6571,1.0376,0.5959,107.5294,248.1711,275.0,619.1937,0.1396,0.3304,0.377,0.0664,0.3404,0.2421,0.2395,0.3475,-0.2395,0.3475,0.0167,0.0182,0.2977,0.217,0.1172,0.0635,0.2463,0.0393
pronostia,ctl_EC,43,17,0.2708,0.0458,0.277,0.2662,0.296,0.346,0.3079,0.0529,0.1157,0.2674,0.6421,0.38,0.4722,0.3582,0.9891,1.1846,0.7308,0.4323,112.3171,105.6149,0.9168,0.5665,983.2941,779.91,435.5882,666.5561,0.0211,0.0794,0.1179,0.0577,0.2943,0.2659,-0.1879,0.3538,0.1879,0.3538,0.0183,0.0156,0.3113,0.2226,0.1685,0.1136,0.2806,0.0967
pronostia,ctl_elapsed,43,17,0.2513,0.0506,0.2669,0.2301,0.2769,0.3355,0.2937,0.0616,0.1852,0.3034,0.5793,0.3254,0.4451,0.3336,0.9268,1.1366,0.6686,0.3633,99.1277,91.1844,0.8372,0.4636,1013.6471,807.9042,234.3529,414.5252,0.0229,0.0938,0.1146,0.057,0.3273,0.2879,-0.2723,0.3435,0.2723,0.3435,0.011,0.0096,0.2249,0.2029,0.1249,0.1123,0.2383,0.0959
pronostia,ctl_hc10,43,17,0.2669,0.0531,0.2733,0.2608,0.2864,0.3514,0.3086,0.0591,0.1058,0.2889,0.6348,0.3912,0.4662,0.3646,1.0286,1.2095,0.7293,0.4385,113.5094,110.9462,0.9399,0.6,1177.4706,837.679,285.5882,581.5504,0.0232,0.0922,0.1162,0.0556,0.3156,0.2989,-0.2445,0.3629,0.2445,0.3629,0.0163,0.0089,0.2615,0.2182,0.1506,0.1142,0.2514,0.098
pronostia,ctl_lifefrac,43,17,0.1151,0.0524,0.1316,0.073,0.1376,0.2624,0.1393,0.0645,0.7884,0.2083,0.2891,0.1964,0.2482,0.0956,0.444,0.5924,0.3475,0.233,49.8722,48.9062,0.4146,0.3091,1202.2941,719.2748,260.7647,279.5929,0.0085,0.035,0.1222,0.0639,0.3675,0.2821,-0.3073,0.3503,0.3073,0.3503,0.0121,0.0082,0.2135,0.2024,0.1233,0.1053,0.2517,0.0964
