dataset,config,n_seeds,n_bearings,norm_median,norm_q25,norm_q75,norm_worst,norm_mean,norm_std,hours_median,hours_q25,hours_q75,hours_worst,hours_mean,hours_std,mtoi_spearman_signed_mean,mtoi_spearman_vs_deg_mean,mtoi_monotonicity_mean,rul_rmse_hours_mean,rul_phm_score_mean,rul_asym_score_mean
xjtu_sy,ctl_shuffled,3,15,0.2447,0.1767,0.2667,0.48,0.24,0.0866,0.5424,0.3172,1.0942,6.6828,1.5341,2.2022,-0.5926,0.5926,0.0581,1.7907,372.792,2.3275
xjtu_sy,ctl_nodeg,3,15,0.2421,0.1725,0.263,0.4883,0.2402,0.086,0.5517,0.3022,1.0676,6.677,1.536,2.2388,-0.592,0.592,0.0576,1.7998,388.5003,2.3584
xjtu_sy,abl_no_idxhead,3,15,0.2374,0.1774,0.265,0.4843,0.2407,0.0849,0.5472,0.3195,1.0615,6.796,1.5404,2.2446,-0.5463,0.5463,0.0536,1.8146,382.0082,2.3608
xjtu_sy,abl_E_only,3,15,0.257,0.1682,0.27,0.4651,0.2416,0.0861,0.531,0.3061,1.091,6.6846,1.5673,2.2838,-0.5692,0.5692,0.058,1.8448,387.7357,2.3622
xjtu_sy,transformer_vib,3,15,0.244,0.1801,0.2722,0.4577,0.2423,0.0771,0.5172,0.3102,1.0884,6.8819,1.5859,2.326,-0.0057,0.0057,0.0363,1.8652,386.1905,2.3379
xjtu_sy,ctl_EC,3,15,0.2542,0.1768,0.2695,0.4514,0.2441,0.0774,0.5148,0.3127,1.0871,6.7594,1.5623,2.2454,-0.5784,0.5784,0.0491,1.8249,388.698,2.3793
xjtu_sy,abl_cond_noaux,3,15,0.2602,0.1816,0.2675,0.4536,0.2449,0.0771,0.5125,0.3161,1.1083,6.6002,1.5718,2.2564,0.0174,-0.0174,0.0463,1.8418,386.9205,2.382
xjtu_sy,tcn_vib,3,15,0.2702,0.2131,0.2863,0.4626,0.2705,0.0702,0.5227,0.343,1.2401,7.0201,1.6826,2.3743,-0.0605,0.0605,0.0589,1.9476,410.471,2.5275
xjtu_sy,tcn_transformer_vib,3,15,0.2785,0.2676,0.2901,0.4292,0.2731,0.0612,0.485,0.3939,1.1851,7.066,1.6683,2.3655,-0.0534,0.0534,0.0476,1.8991,407.1918,2.4638
xjtu_sy,cnn_bilstm_attn_vib,3,15,0.2767,0.2546,0.2918,0.3717,0.2741,0.047,0.5522,0.3672,1.3841,7.348,1.7333,2.4651,-0.2084,0.2084,0.0626,2.0675,521.3821,2.7128
