dataset,config,seed,n_folds,rul_mae_mean,rul_mae_std,rul_mae_median,rul_mae_q25,rul_mae_q75,rul_mae_worst,rul_rmse_mean,rul_rmse_std,rul_r2_mean,rul_r2_std,rul_mae_hours_mean,rul_mae_hours_std,rul_mae_hours_median,rul_mae_hours_q25,rul_mae_hours_q75,rul_mae_hours_worst,rul_rmse_hours_mean,rul_rmse_hours_std,rul_phm_score_mean,rul_phm_score_std,rul_asym_score_mean,rul_asym_score_std,first_warning_mean,first_warning_std,lead_time_mean,lead_time_std,false_alarm_rate_mean,false_alarm_rate_std,mtoi_rmse_mean,mtoi_rmse_std,mtoi_spearman_mean,mtoi_spearman_std,mtoi_spearman_signed_mean,mtoi_spearman_signed_std,mtoi_spearman_vs_deg_mean,mtoi_spearman_vs_deg_std,mtoi_monotonicity_mean,mtoi_monotonicity_std,stage_acc_mean,stage_acc_std,stage_macro_f1_mean,stage_macro_f1_std,stage_bal_acc_mean,stage_bal_acc_std
xjtu_sy,abl_E_only,44,15,0.2381,0.0882,0.2517,0.1619,0.2736,0.4681,0.2838,0.1129,0.1674,0.6611,1.5946,2.394,0.5289,0.294,1.0878,7.2452,1.8884,2.7991,390.4504,852.4248,2.3102,3.4704,409.2,745.1995,95.0667,144.8055,0.1003,0.2326,0.1697,0.1179,0.6464,0.3125,-0.5712,0.4425,0.5712,0.4425,0.0624,0.0443,0.3088,0.261,0.1708,0.1289,0.2778,0.1632
xjtu_sy,abl_cond_noaux,44,15,0.2351,0.074,0.2492,0.1588,0.2692,0.4039,0.2823,0.0945,0.2071,0.5104,1.5184,2.1891,0.4985,0.2917,1.1013,6.526,1.8209,2.6233,396.6191,878.2203,2.4076,3.6419,525.8667,852.5593,54.0,54.3139,0.0935,0.2289,0.361,0.0876,0.4893,0.3019,0.0196,0.5892,-0.0196,0.5892,0.0519,0.0459,0.2291,0.2403,0.1145,0.1168,0.2119,0.1335
xjtu_sy,abl_no_idxhead,44,15,0.2408,0.0849,0.2481,0.181,0.2701,0.4634,0.2894,0.1086,0.147,0.6379,1.5559,2.2864,0.5237,0.3162,1.0601,6.8565,1.8427,2.6453,393.6896,856.5299,2.4085,3.6467,528.6,865.6417,63.3333,63.411,0.1197,0.2446,0.1395,0.0922,0.6455,0.2818,-0.5757,0.4132,0.5757,0.4132,0.0609,0.0737,0.3376,0.2702,0.1948,0.1424,0.3052,0.1566
xjtu_sy,abl_no_mono,44,15,0.2318,0.0803,0.2455,0.1567,0.2603,0.4125,0.2777,0.1041,0.214,0.5613,1.5262,2.2187,0.5335,0.2869,1.0578,6.5579,1.7989,2.5757,375.6923,820.7576,2.3204,3.5099,538.7333,856.4629,66.5333,57.8284,0.109,0.2381,0.1433,0.1007,0.6313,0.2736,-0.6313,0.2736,0.6313,0.2736,0.0497,0.036,0.2944,0.2653,0.1758,0.1273,0.2722,0.1613
xjtu_sy,abl_no_smooth,44,15,0.2294,0.0803,0.2436,0.164,0.266,0.4186,0.2732,0.1003,0.2431,0.5556,1.5122,2.2328,0.5114,0.2865,1.0899,6.8748,1.7472,2.5314,364.8855,799.1671,2.284,3.4709,531.2,829.5276,74.0667,71.3907,0.0978,0.2276,0.1577,0.1028,0.618,0.303,-0.5705,0.3903,0.5705,0.3903,0.0586,0.0524,0.3157,0.2426,0.1591,0.1124,0.2533,0.125
xjtu_sy,cnn_bilstm_attn_vib,44,15,0.2679,0.085,0.2771,0.2098,0.2923,0.5211,0.306,0.102,0.0695,0.7049,1.6692,2.396,0.5888,0.3411,1.1935,7.0487,1.988,2.9301,483.9949,1087.1788,2.6395,4.1015,254.4,624.3492,44.4667,62.4967,0.0969,0.2466,0.3929,0.0619,0.5096,0.3553,-0.3577,0.5171,0.3577,0.5171,0.0644,0.0531,0.1852,0.2072,0.1153,0.105,0.2741,0.0954
xjtu_sy,ctl_EC,44,15,0.2368,0.082,0.2322,0.1728,0.2631,0.4591,0.285,0.1041,0.1774,0.6266,1.5283,2.2513,0.5188,0.3054,1.0416,6.703,1.8443,2.6872,408.997,897.0235,2.4313,3.7446,538.6,860.0591,63.8667,60.095,0.1046,0.2381,0.1568,0.1142,0.6096,0.3366,-0.5863,0.3783,0.5863,0.3783,0.0501,0.0563,0.161,0.1888,0.0979,0.082,0.1732,0.1283
xjtu_sy,ctl_elapsed,44,15,0.2291,0.0851,0.2503,0.1639,0.2563,0.4439,0.2786,0.1112,0.1968,0.617,1.4969,2.1909,0.5016,0.3028,1.0601,6.5269,1.8002,2.5647,376.2902,817.8118,2.3776,3.5173,520.0,868.0156,60.5333,58.1646,0.0971,0.2407,0.1591,0.1246,0.6334,0.284,-0.589,0.3728,0.589,0.3728,0.0624,0.0577,0.2429,0.241,0.1368,0.1285,0.2524,0.1414
xjtu_sy,ctl_hc10,44,15,0.2413,0.095,0.256,0.1825,0.2656,0.5027,0.289,0.1116,0.143,0.6866,1.5487,2.2227,0.568,0.3183,1.1401,6.6445,1.8557,2.6837,403.7854,920.2598,2.3576,3.6367,528.8667,830.9315,76.4,80.0132,0.1113,0.2391,0.1643,0.1337,0.5807,0.2982,-0.5715,0.3167,0.5715,0.3167,0.0595,0.0551,0.2156,0.2372,0.121,0.1069,0.2288,0.127
xjtu_sy,ctl_lifefrac,44,15,0.1433,0.0927,0.1096,0.067,0.253,0.2792,0.1751,0.1171,0.6089,0.4296,1.0079,1.8606,0.3133,0.1095,0.4521,6.648,1.194,2.1497,248.83,636.5218,1.5767,2.9647,518.0667,792.7794,87.2,110.0501,0.0324,0.1078,0.1414,0.1143,0.6144,0.3348,-0.5615,0.4227,0.5615,0.4227,0.0591,0.0776,0.2196,0.2008,0.1156,0.1041,0.2436,0.0852
