dataset,config,holdout,seed,n_train_bearings,n_test_windows,hi_cols,vtoi_a,vtoi_b,vtoi_fitness,vtoi_sat_frac_test,rul_mae,rul_rmse,rul_r2,rul_mae_hours,rul_rmse_hours,rul_phm_score,rul_asym_score,first_warning,lead_time,false_alarm_rate,mtoi_rmse,mtoi_spearman,mtoi_spearman_signed,mtoi_spearman_vs_deg,mtoi_monotonicity,stage_acc,stage_macro_f1,stage_bal_acc
pronostia,vtoi_static,Full_Test_Set_Bearing1_3,43,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.1497336626052856,0.1681842803955078,0.7430320627941873,0.5924462080001831,0.6654491424560547,119.86498173133714,0.7376811807447751,1687,687,0.0,0.2509430050849914,0.8428523627300578,-0.8428523627300578,0.8428523627300578,0.0134793597304128,0.6231578947368421,0.3235644640484673,0.330854598492265
pronostia,vtoi_traj,Full_Test_Set_Bearing1_3,43,15,2375,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,0.86,0.14,0.691424,0.2164210526315789,0.1748982667922973,0.1955040395259857,0.6527680978113723,0.6920141577720642,0.7735443711280823,146.03637955594027,0.948676283758918,1789,585,0.0,0.3284187018871307,0.7954912230606468,-0.7954912230606468,0.7954912230606468,0.0109519797809604,0.6181052631578947,0.2519233478429634,0.2852277753206546
pronostia,transformer_vib,Full_Test_Set_Bearing1_3,43,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.1865990757942199,0.2104856222867965,0.597511982204592,0.7383103370666504,0.8328214287757874,144.2184823748977,0.8115911371215786,1507,867,0.0,0.3401442170143127,0.8498860655903049,-0.8498860655903049,0.8498860655903049,0.0235888795282224,0.0791578947368421,0.1199680171733025,0.2723200267688388
pronostia,tcn_vib,Full_Test_Set_Bearing1_3,43,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.2861897647380829,0.3278495371341705,0.0235337284483223,1.132357478141785,1.2971913814544678,223.3689201303521,1.203292999009533,1719,655,0.0,0.2449171394109726,0.5959277073902455,-0.5959277073902455,0.5959277073902455,0.018955349620893,0.0501052631578947,0.0238572574178027,0.25
pronostia,tcn_transformer_vib,Full_Test_Set_Bearing1_3,43,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.2274892628192901,0.2571631968021393,0.3992058121083736,0.9000990986824036,1.01750910282135,190.1965236081181,1.1957796231078863,1741,633,0.0,0.3483959138393402,0.1698018907479135,0.1698018907479135,-0.1698018907479135,0.0016849199663016,0.1031578947368421,0.1353591160220994,0.1289473684210526
pronostia,cnn_bilstm_attn_vib,Full_Test_Set_Bearing1_3,43,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.3652500510215759,0.4260092675685882,-0.6487173633198247,1.445172667503357,1.6855766773223877,296.22050387251204,1.6222623751518366,426,1948,0.2778947368421052,0.3752985298633575,0.5838082210519507,-0.5838082210519507,0.5838082210519507,0.0092670598146588,0.0934736842105263,0.0942056486465312,0.2300243130960249
pronostia,abl_no_idxhead,Full_Test_Set_Bearing1_3,43,15,2375,,0.86,0.14,0.691424,0.2164210526315789,0.1815190762281417,0.2083359807729721,0.6056910256002532,0.7182104587554932,0.8243160247802734,143.81466731094764,0.8497047272491219,1643,731,0.0,0.2799735069274902,0.8274338023663016,-0.8274338023663016,0.8274338023663016,0.0092670598146588,0.7498947368421053,0.3905567993192684,0.4456184703331362
pronostia,abl_cond_noaux,Full_Test_Set_Bearing1_3,43,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.1599049121141433,0.1841033101081848,0.6920846715851846,0.6326904892921448,0.7284354567527771,131.92649737146485,0.840154600508315,1618,756,0.0,0.3411541581153869,0.8078500825176382,-0.8078500825176382,0.8078500825176382,0.0088458298230834,0.0808421052631579,0.0890748218497645,0.1124990268135639
pronostia,abl_E_only,Full_Test_Set_Bearing1_3,43,15,2375,E_norm,0.86,0.14,0.691424,0.2164210526315789,0.180492952466011,0.2078336328268051,0.6075902402105686,0.7141503691673279,0.8223284482955933,151.75949661577894,0.9843066877136496,1668,706,0.0,0.3209914267063141,0.8273929881124221,-0.8273929881124221,0.8273929881124221,0.0193765796124684,0.0968421052631579,0.0723584131898846,0.1595550343141396
pronostia,abl_no_smooth,Full_Test_Set_Bearing1_3,43,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.1659985482692718,0.1864398717880249,0.6842191993122374,0.6568009853363037,0.7376804351806641,137.39050367001005,0.8837410285482673,1692,682,0.0,0.2925359308719635,0.8454846258467649,-0.8454846258467649,0.8454846258467649,0.0227464195450716,0.0884210526315789,0.1134264672955215,0.1315229291006763
pronostia,abl_no_mono,Full_Test_Set_Bearing1_3,43,15,2375,E_norm|C_norm|VTOI,0.86,0.14,0.691424,0.2164210526315789,0.1149247512221336,0.1306237429380417,0.8449926403476571,0.4547189474105835,0.5168346166610718,93.6142871395565,0.6033111585262967,1630,744,0.0,0.2465141117572784,0.8267260905276377,-0.8267260905276377,0.8267260905276377,0.0050547598989048,0.7153684210526315,0.3845736475077592,0.4490873250542085
