dataset,protocol,config,holdout,seed,n_train_bearings,n_test_windows,hi_cols,vtoi_a,vtoi_b,vtoi_fitness,n_baseline_snapshots,cov_estimator,rul_mae,rul_rmse,rul_r2,rul_mae_hours,rul_rmse_hours,rul_phm_score,rul_asym_score,first_warning,lead_time,false_alarm_rate,mtoi_rmse,mtoi_spearman,mtoi_spearman_signed,mtoi_spearman_vs_deg,mtoi_monotonicity,stage_acc,stage_macro_f1,stage_bal_acc
ims,frozen_transfer_xjtu_to_ims,vtoi_static,Test1_Bearing3,42,12,19404,E_norm|C_norm|VTOI,1.0,0.0,1.010209,431,ledoit_wolf,0.4767481982707977,0.5533432960510254,-1.7814222548297685,102.73922729492188,119.2454833984375,316636871.5986917,104.3574195500871,4,2151,0.9249806651198764,0.5384976863861084,0.3800065625512623,-0.3800065625512623,0.3800065625512623,0.0051044083526682,0.5830241187384044,0.184148842660416,0.2430394431554524
ims,frozen_transfer_xjtu_to_ims,vtoi_static,Test1_Bearing4,42,12,19404,E_norm|C_norm|VTOI,1.0,0.0,1.010209,431,ledoit_wolf,0.5222448110580444,0.5899231433868408,-2.1613205893699665,112.54376220703124,127.12844848632812,544079993.5372169,113.12723208756526,0,2155,0.9907192575406032,0.5454641580581665,0.6801183532616674,-0.6801183532616674,0.6801183532616674,0.0004640371229698,0.5927643784786641,0.1891360196865699,0.2482562802555068
ims,frozen_transfer_xjtu_to_ims,vtoi_static,Test2_Bearing1,42,12,8856,E_norm|C_norm|VTOI,1.0,0.0,1.010209,196,ledoit_wolf,0.4515925347805023,0.5058169960975647,-1.3220517206791524,44.39154815673828,49.7218132019043,80997.96486170762,44.69767184867486,0,983,0.8067796610169492,0.4269558787345886,0.8244814314823593,-0.8244814314823593,0.8244814314823593,0.0111902339776195,0.5853658536585366,0.1848523748395378,0.2440677966101695
ims,frozen_transfer_xjtu_to_ims,vtoi_static,Test3_Bearing3,42,12,40032,E_norm|C_norm|VTOI,1.0,0.0,1.010209,889,ledoit_wolf,0.4763629138469696,0.5468021631240845,-1.7171149178738898,211.838623046875,243.16294860839844,467012663756925.2,220.5204041974029,0,4447,0.9917541229385308,0.6009653806686401,0.1078483821699541,-0.1078483821699541,0.1078483821699541,0.0042725432876096,0.5991456834532374,0.1891928478647999,0.2502815660067389
ims,frozen_transfer_xjtu_to_ims,transformer_vib,Test1_Bearing3,42,12,19404,,1.0,0.0,1.010209,431,ledoit_wolf,0.4518093764781952,0.529420018196106,-1.5461170458680695,97.36491394042967,114.09001922607422,340687701.12059385,99.24581688896843,156,1999,0.7788089713843774,0.4219059646129608,0.4022501246830868,0.4022501246830868,-0.4022501246830868,0.0120649651972157,0.1103896103896103,0.0914809329995437,0.2672205751768783
ims,frozen_transfer_xjtu_to_ims,transformer_vib,Test1_Bearing4,42,12,19404,,1.0,0.0,1.010209,431,ledoit_wolf,0.5216253399848938,0.5883902907371521,-2.1449129893058814,112.41026306152344,126.79811096191406,729410013.2349656,112.8923626653781,22,2133,0.8924980665119876,0.3772371113300323,0.722524314132524,0.722524314132524,-0.722524314132524,0.0218097447795823,0.0797773654916512,0.0697657482138319,0.2685364211852997
ims,frozen_transfer_xjtu_to_ims,transformer_vib,Test2_Bearing1,42,12,8856,,1.0,0.0,1.010209,196,ledoit_wolf,0.3542225956916809,0.3972610533237457,-0.4323099191031223,34.82008361816406,39.05076217651367,36644.1553879096,35.18585938708932,532,451,0.0440677966101694,0.3924369513988495,0.8105185869157617,0.8105185869157617,-0.8105185869157617,0.0132248219735503,0.2337398373983739,0.1909198253619059,0.3307373457857719
ims,frozen_transfer_xjtu_to_ims,transformer_vib,Test3_Bearing3,42,12,40032,,1.0,0.0,1.010209,889,ledoit_wolf,0.4362939000129699,0.5000041127204895,-1.2719290131397432,194.01991271972656,222.35186767578125,339903004948203.5,207.60880482204175,0,4447,0.664167916041979,0.4962671399116516,0.1477688795651497,0.1477688795651497,-0.1477688795651497,0.0056217674836968,0.0807104316546762,0.0724812316386437,0.2619576128882669
ims,frozen_transfer_xjtu_to_ims,ctl_random,Test1_Bearing3,42,12,19404,VTOI_rand,1.0,0.0,1.010209,431,ledoit_wolf,0.38347429037094116,0.4339977204799652,-0.7110098209355535,82.63871002197266,93.5265121459961,15991466.18010354,92.35042704633526,217,1938,0.09667440061871617,0.5543344616889954,0.3816828661250863,-0.3816828661250863,0.3816828661250863,0.0069605568445475635,0.18645640074211503,0.0934605714739692,0.23431726389963048
ims,frozen_transfer_xjtu_to_ims,ctl_random,Test1_Bearing4,42,12,19404,VTOI_rand,1.0,0.0,1.010209,431,ledoit_wolf,0.40222206711769104,0.45652320981025696,-0.8932298789838451,86.67886352539062,98.38075256347656,25627982.883310042,95.27055326950129,17,2138,0.8081979891724671,0.5663483142852783,0.49070336821610655,-0.49070336821610655,0.49070336821610655,0.0032482598607888632,0.19990723562152132,0.08397893375574791,0.24961330239752513
