dataset,seed,bearing,nominal,picp,mpiw,q,n_cal
pronostia,s43,Learning_set_Bearing2_1,0.9,0.9835,1.4099,0.705,797
pronostia,s43,Learning_set_Bearing2_2,0.8,0.5772,0.65,0.325,515
pronostia,s43,Learning_set_Bearing2_2,0.9,0.7039,0.9816,0.4908,515
pronostia,s43,Learning_set_Bearing3_1,0.8,0.8621,0.8588,0.4294,1637
pronostia,s43,Learning_set_Bearing3_1,0.9,0.9748,1.1607,0.5804,1637
pronostia,s43,Learning_set_Bearing3_2,0.8,0.2523,0.4003,0.2001,2375
pronostia,s43,Learning_set_Bearing3_2,0.9,0.6481,0.4285,0.2142,2375
pronostia,s44,Full_Test_Set_Bearing1_3,0.8,0.9124,0.5725,0.2863,1428
pronostia,s44,Full_Test_Set_Bearing1_3,0.9,0.9166,0.5871,0.2935,1428
pronostia,s44,Full_Test_Set_Bearing1_4,0.8,0.9986,0.7355,0.3677,2463
pronostia,s44,Full_Test_Set_Bearing1_4,0.9,1.0,1.0563,0.5281,2463
pronostia,s44,Full_Test_Set_Bearing1_5,0.8,0.8006,0.7356,0.3678,2448
pronostia,s44,Full_Test_Set_Bearing1_5,0.9,0.9042,1.0727,0.5364,2448
pronostia,s44,Full_Test_Set_Bearing1_6,0.8,0.8301,0.8363,0.4181,2259
pronostia,s44,Full_Test_Set_Bearing1_6,0.9,0.9297,1.1699,0.5849,2259
pronostia,s44,Full_Test_Set_Bearing1_7,0.8,0.8127,0.8769,0.4384,1955
pronostia,s44,Full_Test_Set_Bearing1_7,0.9,0.9088,1.1976,0.5988,1955
pronostia,s44,Full_Test_Set_Bearing2_3,0.8,0.7529,0.7311,0.3656,751
pronostia,s44,Full_Test_Set_Bearing2_3,0.9,0.8629,1.0675,0.5338,751
pronostia,s44,Full_Test_Set_Bearing2_4,0.8,0.8389,0.8599,0.43,2311
pronostia,s44,Full_Test_Set_Bearing2_4,0.9,0.9228,1.14,0.57,2311
pronostia,s44,Full_Test_Set_Bearing2_5,0.8,0.7334,0.6984,0.3492,701
pronostia,s44,Full_Test_Set_Bearing2_5,0.9,0.862,1.0264,0.5132,701
pronostia,s44,Full_Test_Set_Bearing2_6,0.8,0.786,0.6382,0.3191,230
pronostia,s44,Full_Test_Set_Bearing2_6,0.9,0.883,0.9697,0.4849,230
pronostia,s44,Full_Test_Set_Bearing2_7,0.8,0.7696,0.5974,0.2987,434
pronostia,s44,Full_Test_Set_Bearing2_7,0.9,0.8174,0.6941,0.347,434
pronostia,s44,Full_Test_Set_Bearing3_3,0.8,0.3664,0.4879,0.2439,2803
pronostia,s44,Full_Test_Set_Bearing3_3,0.9,0.3756,0.4958,0.2479,2803
pronostia,s44,Learning_set_Bearing1_1,0.8,0.9904,0.8468,0.4234,871
pronostia,s44,Learning_set_Bearing1_1,0.9,0.9975,1.1348,0.5674,871
pronostia,s44,Learning_set_Bearing1_2,0.8,0.7979,0.8371,0.4186,911
pronostia,s44,Learning_set_Bearing1_2,0.9,0.8335,0.9457,0.4728,911
pronostia,s44,Learning_set_Bearing2_1,0.8,0.7772,0.8184,0.4092,797
pronostia,s44,Learning_set_Bearing2_1,0.9,0.978,1.0502,0.5251,797
pronostia,s44,Learning_set_Bearing2_2,0.8,0.7252,0.6782,0.3391,515
pronostia,s44,Learning_set_Bearing2_2,0.9,0.8733,0.997,0.4985,515
pronostia,s44,Learning_set_Bearing3_1,0.8,0.8311,0.7727,0.3864,1637
pronostia,s44,Learning_set_Bearing3_1,0.9,0.9282,1.081,0.5405,1637
pronostia,s44,Learning_set_Bearing3_2,0.8,0.2773,0.461,0.2305,2375
pronostia,s44,Learning_set_Bearing3_2,0.9,0.3604,0.5442,0.2721,2375
xjtu_sy,s42,35Hz12kN_Bearing1_1,0.8,1.0,1.1814,0.5907,161
xjtu_sy,s42,35Hz12kN_Bearing1_1,0.9,1.0,1.4494,0.7247,161
xjtu_sy,s42,35Hz12kN_Bearing1_2,0.8,0.5901,0.6351,0.3176,158
xjtu_sy,s42,35Hz12kN_Bearing1_2,0.9,0.5901,0.6414,0.3207,158
xjtu_sy,s42,35Hz12kN_Bearing1_3,0.8,1.0,1.1387,0.5694,122
xjtu_sy,s42,35Hz12kN_Bearing1_3,0.9,1.0,1.4741,0.7371,122
xjtu_sy,s42,35Hz12kN_Bearing1_4,0.8,0.6066,0.4888,0.2444,52
xjtu_sy,s42,35Hz12kN_Bearing1_4,0.9,0.6066,0.5033,0.2516,52
xjtu_sy,s42,35Hz12kN_Bearing1_5,0.8,1.0,0.7937,0.3969,491
xjtu_sy,s42,35Hz12kN_Bearing1_5,0.9,1.0,1.1056,0.5528,491
