dataset,config,seed,holdout,rul_mae,rul_mae_hours,mtoi_spearman_signed,vtoi_a,vtoi_b,vtoi_sat_frac_test
pronostia,abl_E_only,44,Learning_set_Bearing1_2,0.2703102827072143,0.3919498920440674,-0.3835907576682886,0.88,0.12,0.0
pronostia,abl_E_only,42,Learning_set_Bearing2_1,0.3071171045303345,0.4657942354679107,-0.2696663753991925,0.88,0.12,0.0
pronostia,abl_E_only,43,Learning_set_Bearing2_1,0.2925533652305603,0.4437059164047241,-0.1877816193332861,0.88,0.12,0.0
pronostia,abl_E_only,44,Learning_set_Bearing2_1,0.284023642539978,0.4307691752910614,-0.2580130838407184,0.88,0.12,0.0
pronostia,abl_E_only,42,Learning_set_Bearing2_2,0.3019578456878662,0.4005973935127258,-0.6462296256126144,0.88,0.12,0.0
pronostia,abl_E_only,43,Learning_set_Bearing2_2,0.3568761646747589,0.4734557271003723,-0.7466434056044547,0.88,0.12,0.0
pronostia,abl_E_only,44,Learning_set_Bearing2_2,0.2959702908992767,0.3926539421081543,-0.5808688187215724,0.88,0.12,0.0
pronostia,abl_E_only,42,Learning_set_Bearing3_1,0.2701002359390259,0.2313858717679977,-0.0387430439103897,0.87,0.13,0.0
pronostia,abl_E_only,43,Learning_set_Bearing3_1,0.2692782878875732,0.2306817173957824,-0.1007239504415472,0.87,0.13,0.0
pronostia,abl_E_only,44,Learning_set_Bearing3_1,0.2707365751266479,0.2319310009479522,0.1384662910777309,0.87,0.13,0.0
pronostia,abl_E_only,42,Learning_set_Bearing3_2,0.2842900454998016,0.7751643061637878,-0.0561950653567837,0.89,0.11,0.1111789859499083
pronostia,abl_E_only,43,Learning_set_Bearing3_2,0.2766586542129516,0.7543560266494751,-0.046509630113821,0.89,0.11,0.1111789859499083
pronostia,abl_E_only,44,Learning_set_Bearing3_2,0.2784171402454376,0.7591508626937866,-0.0490866082770385,0.89,0.11,0.1111789859499083
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing1_3,0.1901841610670089,0.752495288848877,0.7592845934120632,0.86,0.14,0.2164210526315789
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing1_3,0.1599049121141433,0.6326904892921448,-0.8078500825176382,0.86,0.14,0.2164210526315789
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing1_3,0.2293319553136825,0.9073901176452636,-0.4856350085400209,0.86,0.14,0.2164210526315789
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing1_4,0.2202014625072479,0.5237123966217041,-0.5117904495007509,0.87,0.13,0.1953781512605042
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing1_4,0.1893463134765625,0.4503286778926849,0.5072059633484056,0.87,0.13,0.1953781512605042
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing1_4,0.1984742283821106,0.4720378518104553,-0.5476500909093739,0.87,0.13,0.1953781512605042
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing1_5,0.283523827791214,1.1633927822113037,0.0483972890836997,0.88,0.12,0.0012180267965895
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing1_5,0.2891612648963928,1.1865252256393433,0.003957959749257,0.88,0.12,0.0012180267965895
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing1_5,0.2223310768604278,0.912298619747162,0.6068062305002527,0.88,0.12,0.0012180267965895
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing1_6,0.2910660207271576,1.187064290046692,-0.0122686618056287,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing1_6,0.2806496620178222,1.144582986831665,-0.1002867170219429,0.88,0.12,0.0
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing1_6,0.2751974165439605,1.1223468780517578,0.1441420654674987,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing1_7,0.2963207066059112,1.115153670310974,-0.082175649278764,0.88,0.12,0.0004426737494466
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing1_7,0.2776777148246765,1.044993877410889,0.047158889022914,0.88,0.12,0.0004426737494466
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing1_7,0.2976327538490295,1.120091199874878,0.5176550448986513,0.88,0.12,0.0004426737494466
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing2_3,0.2943451106548309,0.9585839509963988,0.2128515427762541,0.87,0.13,0.0
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing2_3,0.3046327531337738,0.9920873641967772,0.1525774808158348,0.87,0.13,0.0
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing2_3,0.3037899136543274,0.9893426895141602,-0.1808366934825851,0.87,0.13,0.0
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing2_4,0.2935553789138794,0.3669442236423492,0.0401684187745734,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing2_4,0.3029599189758301,0.3786998987197876,0.0103486977665431,0.88,0.12,0.0
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing2_4,0.2874844372272491,0.3593555390834808,-0.0046338783969496,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing2_5,0.3094105720520019,1.1912308931350708,-0.0737212678974219,0.86,0.14,0.0
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing2_5,0.2998839318752289,1.1545530557632446,-0.1401451733925919,0.86,0.14,0.0
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing2_5,0.3000123798847198,1.1550477743148804,0.3032446617353143,0.86,0.14,0.0
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing2_6,0.282588392496109,0.3296864926815033,-0.0364435073490167,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing2_6,0.2803250551223755,0.3270459175109863,0.2791733962036541,0.88,0.12,0.0
pronostia,abl_cond_noaux,44,Full_Test_Set_Bearing2_6,0.2807103991508484,0.3274954855442047,-0.0259797770975843,0.88,0.12,0.0
pronostia,abl_cond_noaux,42,Full_Test_Set_Bearing2_7,0.2719902098178863,0.1038096025586128,-0.0861024238191245,0.88,0.12,0.0
pronostia,abl_cond_noaux,43,Full_Test_Set_Bearing2_7,0.2773363292217254,0.1058500185608863,0.0758410715114418,0.88,0.12,0.0
