dataset,config,holdout,seed,n_train_bearings,n_test_windows,hi_cols,vtoi_a,vtoi_b,vtoi_fitness,vtoi_sat_frac_test,rul_mae,rul_rmse,rul_r2,rul_mae_hours,rul_rmse_hours,rul_phm_score,rul_asym_score,first_warning,lead_time,false_alarm_rate,mtoi_rmse,mtoi_spearman,mtoi_spearman_signed,mtoi_spearman_vs_deg,mtoi_monotonicity,stage_acc,stage_macro_f1,stage_bal_acc
xjtu_sy,vtoi_static,35Hz12kN_Bearing1_1,43,13,1845,E_norm|C_norm|VTOI,1.0,0.0,0.921294,0.0,0.1369765549898147,0.161141961812973,0.7670600098404021,0.1671113669872284,0.1965931802988052,1.853343296006548,0.2556177682690019,120,2,0.0,0.0653639733791351,0.7856170299128252,-0.7856170299128252,0.7856170299128252,0.0983606557377049,0.7642276422764228,0.388348588863463,0.4583333333333333
xjtu_sy,vtoi_traj,35Hz12kN_Bearing1_1,43,13,1845,E_norm|C_norm|VTOI|VTOI_vel|VTOI_acc,1.0,0.0,0.921294,0.0,0.152986541390419,0.1762069016695022,0.7214695502957647,0.1866435706615448,0.21497243642807,2.050262562525548,0.2784094916792904,120,2,0.0,0.0970823466777801,0.7873560788650269,-0.7873560788650269,0.7873560788650269,0.0983606557377049,0.0,0.0,0.0
xjtu_sy,transformer_vib,35Hz12kN_Bearing1_1,43,13,1845,,1.0,0.0,0.921294,0.0,0.151885911822319,0.1910899132490158,0.6724313081056412,0.1853007972240448,0.2331297248601913,2.1524610713803733,0.3146452806526568,-1,0,0.0,0.3262020051479339,0.6961792747963365,-0.6961792747963365,0.6961792747963365,0.0327868852459016,0.1138211382113821,0.0598290598290598,0.1458333333333333
xjtu_sy,tcn_vib,35Hz12kN_Bearing1_1,43,13,1845,,1.0,0.0,0.921294,0.0,0.1229069232940673,0.1567197442054748,0.7796696965583512,0.1499464660882949,0.1911980956792831,1.655019951654197,0.2261060885479295,92,30,0.0,0.4170808792114258,0.6411170879799482,0.6411170879799482,-0.6411170879799482,0.1311475409836065,0.056910569105691,0.0286885245901639,0.25
xjtu_sy,tcn_transformer_vib,35Hz12kN_Bearing1_1,43,13,1845,,1.0,0.0,0.921294,0.0,0.207510232925415,0.2333274483680725,0.5116193744533231,0.2531624734401703,0.2846594750881195,2.578568891439707,0.3058800360233318,79,43,0.0,0.4087540507316589,0.6950621282080494,0.6950621282080494,-0.6950621282080494,0.1147540983606557,0.1626016260162601,0.144927536231884,0.2083333333333333
xjtu_sy,cnn_bilstm_attn_vib,35Hz12kN_Bearing1_1,43,13,1845,,1.0,0.0,0.921294,0.0,0.1514877825975418,0.1708877384662628,0.7380317782549025,0.1848150789737701,0.2084830403327942,2.003981801279731,0.2672405383148329,95,27,0.0,0.3973014056682586,0.7037907888143174,-0.7037907888143174,0.7037907888143174,0.0491803278688524,0.6585365853658537,0.3102641717116126,0.5
xjtu_sy,abl_no_idxhead,35Hz12kN_Bearing1_1,43,13,1845,,1.0,0.0,0.921294,0.0,0.175015777349472,0.214914470911026,0.5856588393837345,0.2135192602872848,0.2621956467628479,2.486760281337288,0.3635673110744333,-1,0,0.0,0.1281859278678894,0.7716579971355739,-0.7716579971355739,0.7716579971355739,0.180327868852459,0.048780487804878,0.05578231292517,0.087797619047619
xjtu_sy,abl_cond_noaux,35Hz12kN_Bearing1_1,43,13,1845,E_norm|C_norm|VTOI,1.0,0.0,0.921294,0.0,0.2442328184843063,0.3070857226848602,0.1540474691808755,0.2979640662670135,0.3746445775032043,3.5503103773603506,0.5254765201087405,-1,0,0.0,0.3214196860790252,0.8487572024334832,-0.8487572024334832,0.8487572024334832,0.0491803278688524,0.7235772357723578,0.3996685257287172,0.4548611111111111
xjtu_sy,abl_E_only,35Hz12kN_Bearing1_1,43,13,1845,E_norm,1.0,0.0,0.921294,0.0,0.129467636346817,0.1468358337879181,0.8065846635408804,0.1579505205154419,0.1791397184133529,1.7115735117869193,0.2286740313397675,88,34,0.0,0.0661349147558212,0.8470767522695631,-0.8470767522695631,0.8470767522695631,0.1311475409836065,0.073170731707317,0.1084615384615384,0.2708333333333333
xjtu_sy,abl_no_smooth,35Hz12kN_Bearing1_1,43,13,1845,E_norm|C_norm|VTOI,1.0,0.0,0.921294,0.0,0.1326443403959274,0.154598668217659,0.78559331159037,0.1618260890245437,0.1886103898286819,1.7863159141995812,0.2449509779793944,85,37,0.0,0.0671483501791954,0.8432188620652536,-0.8432188620652536,0.8432188620652536,0.0655737704918032,0.089430894308943,0.0869155354449472,0.2916666666666667
