dataset,mae_norm_mean,mae_norm_median,mae_h_retrospective_mean,mae_h_retrospective_median,mae_h_deployable_mean,mae_h_deployable_median
pronostia,0.2712,0.2814,0.6479,0.4875,0.663,0.6927
xjtu_sy,0.2393,0.2514,1.5558,0.5067,1.4581,1.3266
