a,fitness
0.0,0.541267
0.01,0.562266
0.02,0.570892
0.03,0.57366
0.04,0.578907
0.05,0.583451
0.06,0.588038
0.07,0.592663
0.08,0.595004
0.09,0.601037
0.1,0.606117
0.11,0.608891
0.12,0.611559
0.13,0.616412
0.14,0.621764
0.15,0.627276
0.16,0.633819
0.17,0.636689
0.18,0.642857
0.19,0.64635
0.2,0.650671
0.21,0.656073
0.22,0.662332
0.23,0.663984
0.24,0.668805
0.25,0.672285
0.26,0.678621
0.27,0.683898
0.28,0.687996
0.29,0.691874
0.3,0.696361
0.31,0.70009
0.32,0.70254
0.33,0.70486
0.34,0.710607
0.35,0.713012
0.36,0.716651
0.37,0.720214
0.38,0.724047
0.39,0.731323
0.4,0.735339
0.41,0.740588
0.42,0.744622
0.43,0.74717
0.44,0.751304
0.45,0.757242
0.46,0.761043
0.47,0.760799
0.48,0.765562
0.49,0.764511
0.5,0.767747
0.51,0.776184
0.52,0.780018
0.53,0.784199
0.54,0.78804
0.55,0.793065
0.56,0.79633
0.57,0.797481
0.58,0.797989
0.59,0.80096
0.6,0.801868
0.61,0.80466
0.62,0.808442
0.63,0.811465
0.64,0.815036
0.65,0.816044
0.66,0.819225
0.67,0.824261
0.68,0.826071
0.69,0.829144
0.7,0.831997
0.71,0.827505
0.72,0.82897
0.73,0.830447
0.74,0.832992
0.75,0.830406
0.76,0.831997
0.77,0.833425
0.78,0.834685
0.79,0.83289
0.8,0.829947
0.81,0.832811
0.82,0.83829
0.83,0.836017
0.84,0.83868
0.85,0.840849
0.86,0.845689
0.87,0.848114
0.88,0.853333
0.89,0.854035
0.9,0.855885
0.91,0.868068
0.92,0.86926
0.93,0.867216
0.94,0.875797
0.95,0.879255
0.96,0.88165
0.97,0.887698
0.98,0.893169
0.99,0.903145
1.0,0.921294
