a,fitness
0.0,0.623434
0.01,0.636547
0.02,0.642543
0.03,0.644454
0.04,0.648482
0.05,0.652005
0.06,0.654929
0.07,0.653591
0.08,0.65852
0.09,0.66515
0.1,0.665217
0.11,0.669871
0.12,0.671011
0.13,0.675478
0.14,0.678988
0.15,0.683227
0.16,0.686639
0.17,0.69074
0.18,0.692921
0.19,0.696266
0.2,0.700995
0.21,0.707169
0.22,0.709833
0.23,0.712323
0.24,0.714432
0.25,0.721829
0.26,0.725522
0.27,0.729029
0.28,0.731848
0.29,0.736255
0.3,0.740691
0.31,0.742995
0.32,0.744079
0.33,0.748155
0.34,0.750463
0.35,0.752554
0.36,0.756638
0.37,0.761035
0.38,0.766813
0.39,0.769291
0.4,0.773463
0.41,0.777937
0.42,0.77822
0.43,0.781994
0.44,0.78683
0.45,0.790386
0.46,0.791234
0.47,0.795379
0.48,0.794811
0.49,0.796894
0.5,0.80285
0.51,0.805919
0.52,0.808837
0.53,0.813475
0.54,0.81675
0.55,0.82095
0.56,0.821139
0.57,0.822864
0.58,0.826507
0.59,0.82569
0.6,0.829166
0.61,0.831864
0.62,0.834521
0.63,0.836172
0.64,0.837322
0.65,0.839178
0.66,0.846938
0.67,0.845114
0.68,0.847373
0.69,0.851392
0.7,0.847058
0.71,0.849251
0.72,0.850705
0.73,0.852764
0.74,0.854459
0.75,0.855669
0.76,0.856013
0.77,0.857782
0.78,0.856314
0.79,0.853827
0.8,0.85762
0.81,0.860868
0.82,0.860173
0.83,0.855261
0.84,0.858717
0.85,0.861782
0.86,0.8648
0.87,0.866396
0.88,0.871749
0.89,0.874658
0.9,0.879548
0.91,0.893057
0.92,0.891858
0.93,0.892341
0.94,0.898782
0.95,0.90087
0.96,0.909399
0.97,0.913467
0.98,0.919308
0.99,0.93641
1.0,0.959018
