a,fitness
0.0,0.526798
0.01,0.549598
0.02,0.557896
0.03,0.562597
0.04,0.56687
0.05,0.572218
0.06,0.577035
0.07,0.580922
0.08,0.583489
0.09,0.588224
0.1,0.593828
0.11,0.596368
0.12,0.600861
0.13,0.605521
0.14,0.610007
0.15,0.614757
0.16,0.619592
0.17,0.623195
0.18,0.628514
0.19,0.63261
0.2,0.636098
0.21,0.641666
0.22,0.647505
0.23,0.653103
0.24,0.656809
0.25,0.659842
0.26,0.668436
0.27,0.67292
0.28,0.677054
0.29,0.680993
0.3,0.686389
0.31,0.690472
0.32,0.695515
0.33,0.697804
0.34,0.702584
0.35,0.707764
0.36,0.71113
0.37,0.714606
0.38,0.71801
0.39,0.721396
0.4,0.727958
0.41,0.733304
0.42,0.739758
0.43,0.743745
0.44,0.747256
0.45,0.750514
0.46,0.754732
0.47,0.759552
0.48,0.761464
0.49,0.766872
0.5,0.764068
0.51,0.768797
0.52,0.775782
0.53,0.77672
0.54,0.780351
0.55,0.785912
0.56,0.790397
0.57,0.792243
0.58,0.795205
0.59,0.795579
0.6,0.797614
0.61,0.798579
0.62,0.801776
0.63,0.80316
0.64,0.806744
0.65,0.808359
0.66,0.810286
0.67,0.814713
0.68,0.818658
0.69,0.818709
0.7,0.822566
0.71,0.821805
0.72,0.8218
0.73,0.823219
0.74,0.825174
0.75,0.828045
0.76,0.829352
0.77,0.828918
0.78,0.830552
0.79,0.828676
0.8,0.831711
0.81,0.832863
0.82,0.835839
0.83,0.83588
0.84,0.836664
0.85,0.8379
0.86,0.8432
0.87,0.842805
0.88,0.844975
0.89,0.849572
0.9,0.852182
0.91,0.866272
0.92,0.872207
0.93,0.870857
0.94,0.878771
0.95,0.87988
0.96,0.884941
0.97,0.894056
0.98,0.900035
0.99,0.916879
1.0,0.936151
