a,fitness
0.0,0.588303
0.01,0.608911
0.02,0.614978
0.03,0.61886
0.04,0.624191
0.05,0.629283
0.06,0.633959
0.07,0.634272
0.08,0.640565
0.09,0.647768
0.1,0.649247
0.11,0.654543
0.12,0.657297
0.13,0.663115
0.14,0.668361
0.15,0.673644
0.16,0.677731
0.17,0.682624
0.18,0.68754
0.19,0.692197
0.2,0.697332
0.21,0.704415
0.22,0.706974
0.23,0.710383
0.24,0.713929
0.25,0.721577
0.26,0.726483
0.27,0.730566
0.28,0.733961
0.29,0.739382
0.3,0.744613
0.31,0.747375
0.32,0.749213
0.33,0.754149
0.34,0.757033
0.35,0.759877
0.36,0.763306
0.37,0.768024
0.38,0.774486
0.39,0.778196
0.4,0.783311
0.41,0.787939
0.42,0.789437
0.43,0.792937
0.44,0.799391
0.45,0.802869
0.46,0.803905
0.47,0.808835
0.48,0.809331
0.49,0.812568
0.5,0.818679
0.51,0.822506
0.52,0.825497
0.53,0.829588
0.54,0.833249
0.55,0.83757
0.56,0.839338
0.57,0.841509
0.58,0.843551
0.59,0.8434
0.6,0.846845
0.61,0.850674
0.62,0.853971
0.63,0.857201
0.64,0.859043
0.65,0.860094
0.66,0.867632
0.67,0.866436
0.68,0.870522
0.69,0.876579
0.7,0.872346
0.71,0.874357
0.72,0.875797
0.73,0.878068
0.74,0.881236
0.75,0.882809
0.76,0.882447
0.77,0.882816
0.78,0.882251
0.79,0.880589
0.8,0.879548
0.81,0.883442
0.82,0.882019
0.83,0.877745
0.84,0.879071
0.85,0.884712
0.86,0.888088
0.87,0.89139
0.88,0.894528
0.89,0.899617
0.9,0.90426
0.91,0.916343
0.92,0.916602
0.93,0.915633
0.94,0.924134
0.95,0.922537
0.96,0.931753
0.97,0.940467
0.98,0.942928
0.99,0.956373
1.0,0.978252
