a,fitness
0.0,0.626493
0.01,0.648263
0.02,0.655376
0.03,0.659042
0.04,0.664913
0.05,0.669989
0.06,0.674069
0.07,0.673781
0.08,0.678331
0.09,0.685337
0.1,0.686313
0.11,0.69246
0.12,0.695303
0.13,0.701384
0.14,0.706945
0.15,0.710593
0.16,0.715377
0.17,0.719759
0.18,0.723669
0.19,0.72742
0.2,0.732143
0.21,0.736932
0.22,0.741189
0.23,0.744244
0.24,0.746927
0.25,0.754795
0.26,0.758099
0.27,0.761774
0.28,0.764579
0.29,0.769245
0.3,0.773927
0.31,0.775467
0.32,0.77696
0.33,0.781493
0.34,0.783414
0.35,0.784801
0.36,0.788346
0.37,0.791703
0.38,0.796613
0.39,0.799484
0.4,0.804156
0.41,0.806197
0.42,0.809058
0.43,0.810088
0.44,0.814377
0.45,0.817744
0.46,0.82208
0.47,0.821925
0.48,0.820538
0.49,0.823941
0.5,0.828876
0.51,0.82902
0.52,0.831659
0.53,0.834993
0.54,0.840206
0.55,0.842605
0.56,0.844098
0.57,0.843165
0.58,0.844352
0.59,0.843792
0.6,0.845079
0.61,0.850581
0.62,0.85237
0.63,0.853652
0.64,0.854045
0.65,0.855384
0.66,0.861425
0.67,0.862226
0.68,0.862114
0.69,0.865637
0.7,0.859849
0.71,0.860901
0.72,0.861833
0.73,0.862141
0.74,0.863947
0.75,0.864589
0.76,0.864154
0.77,0.865378
0.78,0.864497
0.79,0.862231
0.8,0.860645
0.81,0.862482
0.82,0.866441
0.83,0.86396
0.84,0.865161
0.85,0.869715
0.86,0.875508
0.87,0.877746
0.88,0.880474
0.89,0.880155
0.9,0.885211
0.91,0.899496
0.92,0.896843
0.93,0.898449
0.94,0.90742
0.95,0.911256
0.96,0.918155
0.97,0.9226
0.98,0.928494
0.99,0.946734
1.0,0.971995
