a,fitness
0.0,0.342601
0.01,0.352592
0.02,0.35835
0.03,0.361573
0.04,0.367375
0.05,0.373806
0.06,0.377977
0.07,0.382388
0.08,0.386022
0.09,0.391099
0.1,0.395825
0.11,0.400819
0.12,0.404349
0.13,0.408779
0.14,0.412505
0.15,0.41733
0.16,0.422156
0.17,0.42687
0.18,0.432096
0.19,0.436332
0.2,0.440409
0.21,0.446612
0.22,0.449927
0.23,0.455112
0.24,0.460179
0.25,0.465653
0.26,0.471331
0.27,0.476666
0.28,0.480953
0.29,0.485821
0.3,0.492427
0.31,0.495796
0.32,0.499571
0.33,0.504597
0.34,0.507265
0.35,0.512397
0.36,0.518099
0.37,0.52472
0.38,0.529822
0.39,0.533808
0.4,0.538354
0.41,0.545384
0.42,0.549639
0.43,0.554089
0.44,0.558127
0.45,0.562673
0.46,0.569439
0.47,0.574583
0.48,0.579453
0.49,0.585067
0.5,0.591825
0.51,0.597944
0.52,0.601925
0.53,0.60553
0.54,0.610467
0.55,0.616821
0.56,0.620133
0.57,0.623597
0.58,0.630204
0.59,0.637842
0.6,0.642866
0.61,0.646721
0.62,0.650951
0.63,0.652514
0.64,0.657823
0.65,0.662334
0.66,0.66713
0.67,0.672108
0.68,0.677429
0.69,0.680807
0.7,0.684306
0.71,0.687753
0.72,0.692362
0.73,0.698136
0.74,0.703824
0.75,0.70674
0.76,0.710249
0.77,0.713484
0.78,0.717065
0.79,0.720581
0.8,0.721792
0.81,0.723083
0.82,0.72459
0.83,0.727068
0.84,0.729143
0.85,0.729989
0.86,0.732422
0.87,0.7331
0.88,0.733679
0.89,0.732858
0.9,0.732079
0.91,0.731036
0.92,0.72838
0.93,0.72558
0.94,0.723236
0.95,0.715164
0.96,0.709781
0.97,0.70599
0.98,0.700926
0.99,0.697913
1.0,0.697733
