a,fitness
0.0,0.645615
0.01,0.671449
0.02,0.679171
0.03,0.680456
0.04,0.684514
0.05,0.688599
0.06,0.692422
0.07,0.695248
0.08,0.695889
0.09,0.701347
0.1,0.705615
0.11,0.708489
0.12,0.709506
0.13,0.713709
0.14,0.718993
0.15,0.721346
0.16,0.726832
0.17,0.728548
0.18,0.734044
0.19,0.73669
0.2,0.739826
0.21,0.744305
0.22,0.748947
0.23,0.750304
0.24,0.754254
0.25,0.756167
0.26,0.76234
0.27,0.765223
0.28,0.767859
0.29,0.769532
0.3,0.774317
0.31,0.777641
0.32,0.780201
0.33,0.780735
0.34,0.78538
0.35,0.786263
0.36,0.787576
0.37,0.790077
0.38,0.793573
0.39,0.79768
0.4,0.800021
0.41,0.803046
0.42,0.806019
0.43,0.805695
0.44,0.807603
0.45,0.81178
0.46,0.814498
0.47,0.812792
0.48,0.81596
0.49,0.815082
0.5,0.816215
0.51,0.821097
0.52,0.821867
0.53,0.823232
0.54,0.826592
0.55,0.828748
0.56,0.830977
0.57,0.830843
0.58,0.831103
0.59,0.832887
0.6,0.831161
0.61,0.832987
0.62,0.836107
0.63,0.837682
0.64,0.839717
0.65,0.839023
0.66,0.84103
0.67,0.844793
0.68,0.841643
0.69,0.842459
0.7,0.846048
0.71,0.841422
0.72,0.839659
0.73,0.840957
0.74,0.844015
0.75,0.842582
0.76,0.845512
0.77,0.846793
0.78,0.848225
0.79,0.847641
0.8,0.843467
0.81,0.844613
0.82,0.847813
0.83,0.843085
0.84,0.839007
0.85,0.845736
0.86,0.849837
0.87,0.849312
0.88,0.853336
0.89,0.859442
0.9,0.862303
0.91,0.878397
0.92,0.88034
0.93,0.880749
0.94,0.889466
0.95,0.889133
0.96,0.894862
0.97,0.903755
0.98,0.911293
0.99,0.927283
1.0,0.952708
