a,fitness
0.0,0.551846
0.01,0.572706
0.02,0.58081
0.03,0.584001
0.04,0.588729
0.05,0.593195
0.06,0.597784
0.07,0.601379
0.08,0.607586
0.09,0.614446
0.1,0.616062
0.11,0.621809
0.12,0.624137
0.13,0.630116
0.14,0.634542
0.15,0.639336
0.16,0.643356
0.17,0.647396
0.18,0.65334
0.19,0.656739
0.2,0.662468
0.21,0.66762
0.22,0.672983
0.23,0.675648
0.24,0.679272
0.25,0.685644
0.26,0.691568
0.27,0.696272
0.28,0.700324
0.29,0.704163
0.3,0.709746
0.31,0.713328
0.32,0.715758
0.33,0.719471
0.34,0.723775
0.35,0.726016
0.36,0.729176
0.37,0.732685
0.38,0.737521
0.39,0.74416
0.4,0.750182
0.41,0.753833
0.42,0.758071
0.43,0.762044
0.44,0.763781
0.45,0.768854
0.46,0.772406
0.47,0.778364
0.48,0.784118
0.49,0.781394
0.5,0.785797
0.51,0.788007
0.52,0.790726
0.53,0.794056
0.54,0.799394
0.55,0.802914
0.56,0.806114
0.57,0.810164
0.58,0.81316
0.59,0.816332
0.6,0.816814
0.61,0.820735
0.62,0.824269
0.63,0.8277
0.64,0.829601
0.65,0.831711
0.66,0.833866
0.67,0.838819
0.68,0.838691
0.69,0.841772
0.7,0.843351
0.71,0.842046
0.72,0.840247
0.73,0.844184
0.74,0.845762
0.75,0.845614
0.76,0.847538
0.77,0.847563
0.78,0.849922
0.79,0.846958
0.8,0.844928
0.81,0.844775
0.82,0.847113
0.83,0.843189
0.84,0.843023
0.85,0.846284
0.86,0.852462
0.87,0.853442
0.88,0.857772
0.89,0.860448
0.9,0.863732
0.91,0.871801
0.92,0.87276
0.93,0.875239
0.94,0.879777
0.95,0.880605
0.96,0.881597
0.97,0.890139
0.98,0.888197
0.99,0.90052
1.0,0.922825
