a,fitness
0.0,0.557236
0.01,0.572786
0.02,0.579623
0.03,0.583886
0.04,0.588766
0.05,0.593126
0.06,0.597262
0.07,0.600921
0.08,0.603308
0.09,0.609287
0.1,0.613801
0.11,0.6196
0.12,0.623331
0.13,0.628325
0.14,0.633325
0.15,0.636158
0.16,0.642776
0.17,0.646749
0.18,0.653636
0.19,0.656207
0.2,0.659653
0.21,0.665335
0.22,0.668858
0.23,0.673807
0.24,0.67837
0.25,0.681363
0.26,0.687459
0.27,0.692231
0.28,0.696266
0.29,0.699551
0.3,0.706261
0.31,0.71074
0.32,0.713785
0.33,0.715072
0.34,0.718112
0.35,0.721397
0.36,0.723474
0.37,0.726573
0.38,0.731231
0.39,0.735573
0.4,0.73862
0.41,0.743469
0.42,0.74703
0.43,0.747599
0.44,0.747046
0.45,0.75185
0.46,0.756092
0.47,0.759735
0.48,0.76076
0.49,0.766045
0.5,0.768699
0.51,0.776152
0.52,0.778194
0.53,0.779937
0.54,0.782486
0.55,0.786362
0.56,0.790203
0.57,0.792831
0.58,0.794347
0.59,0.798173
0.6,0.798111
0.61,0.800873
0.62,0.803509
0.63,0.806357
0.64,0.809423
0.65,0.81244
0.66,0.813662
0.67,0.819668
0.68,0.818059
0.69,0.819969
0.7,0.825885
0.71,0.826656
0.72,0.82826
0.73,0.827266
0.74,0.83043
0.75,0.830745
0.76,0.834952
0.77,0.8371
0.78,0.838707
0.79,0.840415
0.8,0.841207
0.81,0.843219
0.82,0.848221
0.83,0.8455
0.84,0.849246
0.85,0.851553
0.86,0.854408
0.87,0.855318
0.88,0.859264
0.89,0.860083
0.9,0.861438
0.91,0.878481
0.92,0.875762
0.93,0.873619
0.94,0.878948
0.95,0.883977
0.96,0.891362
0.97,0.901502
0.98,0.907677
0.99,0.924026
1.0,0.950315
