a,fitness
0.0,0.637353
0.01,0.658047
0.02,0.665281
0.03,0.668984
0.04,0.673941
0.05,0.679468
0.06,0.683671
0.07,0.683649
0.08,0.690278
0.09,0.696136
0.1,0.696976
0.11,0.701458
0.12,0.704729
0.13,0.709446
0.14,0.715089
0.15,0.718298
0.16,0.722769
0.17,0.72768
0.18,0.73217
0.19,0.73592
0.2,0.740843
0.21,0.746883
0.22,0.748726
0.23,0.752695
0.24,0.755349
0.25,0.762479
0.26,0.766357
0.27,0.77028
0.28,0.773334
0.29,0.778663
0.3,0.782277
0.31,0.782589
0.32,0.786101
0.33,0.789852
0.34,0.79262
0.35,0.793011
0.36,0.796369
0.37,0.800221
0.38,0.805617
0.39,0.810547
0.4,0.814844
0.41,0.818833
0.42,0.822875
0.43,0.824797
0.44,0.829595
0.45,0.830291
0.46,0.832781
0.47,0.836408
0.48,0.83465
0.49,0.838288
0.5,0.844047
0.51,0.844409
0.52,0.847017
0.53,0.850662
0.54,0.854091
0.55,0.856203
0.56,0.858416
0.57,0.857477
0.58,0.860387
0.59,0.860097
0.6,0.861692
0.61,0.865302
0.62,0.868036
0.63,0.871359
0.64,0.871356
0.65,0.873518
0.66,0.877416
0.67,0.876457
0.68,0.880193
0.69,0.883756
0.7,0.87961
0.71,0.878877
0.72,0.881368
0.73,0.884299
0.74,0.882825
0.75,0.883908
0.76,0.885243
0.77,0.887219
0.78,0.886311
0.79,0.884409
0.8,0.88922
0.81,0.890735
0.82,0.885979
0.83,0.885235
0.84,0.883242
0.85,0.889386
0.86,0.889999
0.87,0.894519
0.88,0.894947
0.89,0.901485
0.9,0.913994
0.91,0.917681
0.92,0.923325
0.93,0.921428
0.94,0.930961
0.95,0.933912
0.96,0.939621
0.97,0.948769
0.98,0.957314
0.99,0.973786
1.0,0.998394
