a,fitness
0.0,0.577402
0.01,0.592251
0.02,0.600793
0.03,0.604203
0.04,0.610306
0.05,0.615073
0.06,0.619867
0.07,0.624237
0.08,0.62709
0.09,0.632989
0.1,0.638678
0.11,0.644278
0.12,0.647254
0.13,0.652558
0.14,0.658106
0.15,0.662858
0.16,0.668868
0.17,0.673023
0.18,0.680306
0.19,0.683214
0.2,0.687441
0.21,0.69344
0.22,0.699972
0.23,0.702773
0.24,0.707957
0.25,0.710349
0.26,0.718694
0.27,0.723553
0.28,0.727768
0.29,0.731247
0.3,0.736917
0.31,0.742309
0.32,0.745162
0.33,0.746813
0.34,0.75197
0.35,0.754667
0.36,0.757129
0.37,0.760589
0.38,0.765161
0.39,0.767865
0.4,0.771385
0.41,0.777085
0.42,0.781934
0.43,0.783571
0.44,0.783689
0.45,0.78828
0.46,0.792605
0.47,0.797904
0.48,0.798419
0.49,0.804933
0.5,0.807801
0.51,0.813941
0.52,0.815973
0.53,0.818536
0.54,0.821612
0.55,0.825313
0.56,0.831949
0.57,0.834839
0.58,0.835097
0.59,0.836908
0.6,0.836644
0.61,0.839569
0.62,0.842364
0.63,0.845979
0.64,0.849063
0.65,0.851182
0.66,0.851862
0.67,0.858443
0.68,0.856636
0.69,0.858362
0.7,0.864139
0.71,0.864706
0.72,0.866432
0.73,0.866212
0.74,0.870263
0.75,0.869296
0.76,0.873373
0.77,0.874387
0.78,0.874841
0.79,0.876627
0.8,0.874936
0.81,0.876416
0.82,0.881527
0.83,0.877152
0.84,0.878905
0.85,0.881302
0.86,0.884503
0.87,0.884839
0.88,0.888284
0.89,0.889243
0.9,0.889959
0.91,0.906407
0.92,0.90444
0.93,0.900425
0.94,0.906568
0.95,0.912062
0.96,0.916651
0.97,0.925464
0.98,0.927909
0.99,0.942885
1.0,0.968763
