a,fitness
0.0,0.325373
0.01,0.334364
0.02,0.339854
0.03,0.344401
0.04,0.350425
0.05,0.356533
0.06,0.361042
0.07,0.365356
0.08,0.368819
0.09,0.374257
0.1,0.379201
0.11,0.383725
0.12,0.387363
0.13,0.392026
0.14,0.39562
0.15,0.400758
0.16,0.406165
0.17,0.410893
0.18,0.416089
0.19,0.420238
0.2,0.424282
0.21,0.43078
0.22,0.433887
0.23,0.438873
0.24,0.444006
0.25,0.449301
0.26,0.45549
0.27,0.460718
0.28,0.465487
0.29,0.470683
0.3,0.477743
0.31,0.481043
0.32,0.484721
0.33,0.489759
0.34,0.492453
0.35,0.497759
0.36,0.503174
0.37,0.50953
0.38,0.514941
0.39,0.519171
0.4,0.52372
0.41,0.530948
0.42,0.535307
0.43,0.538865
0.44,0.543283
0.45,0.548259
0.46,0.554633
0.47,0.560095
0.48,0.564357
0.49,0.570174
0.5,0.577157
0.51,0.582405
0.52,0.586023
0.53,0.590199
0.54,0.594686
0.55,0.601638
0.56,0.604606
0.57,0.608016
0.58,0.614427
0.59,0.621703
0.6,0.627104
0.61,0.630006
0.62,0.633792
0.63,0.635269
0.64,0.640264
0.65,0.644797
0.66,0.648948
0.67,0.654182
0.68,0.65963
0.69,0.663372
0.7,0.66623
0.71,0.668893
0.72,0.674297
0.73,0.679149
0.74,0.684599
0.75,0.687757
0.76,0.690833
0.77,0.694481
0.78,0.697759
0.79,0.701674
0.8,0.7028
0.81,0.704653
0.82,0.7067
0.83,0.709693
0.84,0.711583
0.85,0.713134
0.86,0.714783
0.87,0.715312
0.88,0.715734
0.89,0.71408
0.9,0.712684
0.91,0.711434
0.92,0.708635
0.93,0.70493
0.94,0.701346
0.95,0.691523
0.96,0.68548
0.97,0.680607
0.98,0.674601
0.99,0.672251
1.0,0.674959
