a,fitness
0.0,0.352947
0.01,0.363482
0.02,0.371195
0.03,0.376609
0.04,0.383564
0.05,0.390348
0.06,0.39453
0.07,0.399669
0.08,0.404498
0.09,0.409798
0.1,0.41469
0.11,0.419859
0.12,0.423658
0.13,0.428274
0.14,0.433151
0.15,0.43802
0.16,0.443609
0.17,0.44874
0.18,0.455107
0.19,0.460551
0.2,0.465657
0.21,0.472246
0.22,0.476077
0.23,0.481835
0.24,0.486988
0.25,0.49223
0.26,0.497584
0.27,0.503029
0.28,0.506609
0.29,0.512306
0.3,0.518401
0.31,0.522698
0.32,0.526583
0.33,0.531326
0.34,0.534711
0.35,0.540463
0.36,0.546855
0.37,0.552543
0.38,0.558769
0.39,0.563771
0.4,0.567647
0.41,0.574861
0.42,0.579719
0.43,0.584587
0.44,0.588607
0.45,0.594691
0.46,0.600902
0.47,0.607208
0.48,0.611396
0.49,0.617515
0.5,0.624086
0.51,0.629002
0.52,0.633369
0.53,0.637593
0.54,0.642417
0.55,0.648719
0.56,0.651644
0.57,0.655772
0.58,0.661522
0.59,0.668359
0.6,0.673164
0.61,0.676742
0.62,0.680116
0.63,0.681496
0.64,0.685563
0.65,0.690821
0.66,0.69619
0.67,0.70112
0.68,0.705922
0.69,0.708349
0.7,0.711932
0.71,0.714868
0.72,0.719805
0.73,0.723952
0.74,0.729212
0.75,0.732592
0.76,0.736003
0.77,0.73892
0.78,0.742673
0.79,0.746374
0.8,0.747987
0.81,0.749669
0.82,0.750696
0.83,0.754798
0.84,0.75589
0.85,0.75717
0.86,0.759692
0.87,0.759917
0.88,0.759743
0.89,0.757892
0.9,0.75669
0.91,0.755131
0.92,0.752307
0.93,0.747322
0.94,0.742773
0.95,0.7322
0.96,0.723399
0.97,0.717038
0.98,0.708361
0.99,0.705531
1.0,0.707404
