a,fitness
0.0,0.322731
0.01,0.331
0.02,0.33728
0.03,0.342141
0.04,0.34661
0.05,0.352249
0.06,0.357536
0.07,0.361423
0.08,0.36578
0.09,0.369128
0.1,0.373544
0.11,0.377541
0.12,0.381944
0.13,0.386009
0.14,0.388724
0.15,0.392727
0.16,0.396906
0.17,0.401513
0.18,0.406748
0.19,0.411369
0.2,0.416413
0.21,0.421618
0.22,0.425939
0.23,0.430277
0.24,0.435583
0.25,0.43902
0.26,0.442735
0.27,0.447828
0.28,0.452616
0.29,0.457866
0.3,0.46291
0.31,0.467044
0.32,0.471257
0.33,0.476995
0.34,0.480254
0.35,0.484454
0.36,0.488644
0.37,0.492192
0.38,0.496078
0.39,0.501045
0.4,0.507554
0.41,0.512906
0.42,0.519238
0.43,0.523758
0.44,0.529681
0.45,0.535072
0.46,0.539181
0.47,0.543623
0.48,0.548477
0.49,0.554858
0.5,0.561272
0.51,0.567518
0.52,0.57175
0.53,0.578771
0.54,0.585118
0.55,0.590468
0.56,0.595065
0.57,0.600124
0.58,0.605735
0.59,0.611604
0.6,0.615406
0.61,0.621426
0.62,0.627383
0.63,0.631684
0.64,0.637519
0.65,0.641916
0.66,0.642533
0.67,0.648336
0.68,0.650949
0.69,0.656658
0.7,0.662224
0.71,0.667178
0.72,0.67056
0.73,0.674232
0.74,0.67759
0.75,0.68371
0.76,0.688698
0.77,0.693524
0.78,0.697808
0.79,0.702139
0.8,0.706419
0.81,0.709368
0.82,0.712015
0.83,0.713157
0.84,0.715343
0.85,0.718945
0.86,0.719995
0.87,0.720671
0.88,0.722217
0.89,0.722953
0.9,0.722831
0.91,0.720928
0.92,0.718727
0.93,0.715558
0.94,0.711316
0.95,0.707491
0.96,0.694618
0.97,0.684963
0.98,0.677403
0.99,0.673227
1.0,0.676347
