a,fitness
0.0,0.589586
0.01,0.604919
0.02,0.611271
0.03,0.611748
0.04,0.615396
0.05,0.618487
0.06,0.621678
0.07,0.624814
0.08,0.625853
0.09,0.63087
0.1,0.634858
0.11,0.635944
0.12,0.636637
0.13,0.641402
0.14,0.64454
0.15,0.649553
0.16,0.653644
0.17,0.655736
0.18,0.659719
0.19,0.661962
0.2,0.665775
0.21,0.670006
0.22,0.674367
0.23,0.676219
0.24,0.679223
0.25,0.683703
0.26,0.688589
0.27,0.692685
0.28,0.695826
0.29,0.699412
0.3,0.702627
0.31,0.705169
0.32,0.706072
0.33,0.708948
0.34,0.713143
0.35,0.716009
0.36,0.71858
0.37,0.722642
0.38,0.726799
0.39,0.732879
0.4,0.736142
0.41,0.74091
0.42,0.744597
0.43,0.749095
0.44,0.751487
0.45,0.757727
0.46,0.760246
0.47,0.759992
0.48,0.763981
0.49,0.762834
0.5,0.767202
0.51,0.773715
0.52,0.776838
0.53,0.78121
0.54,0.784693
0.55,0.790181
0.56,0.793249
0.57,0.794043
0.58,0.793731
0.59,0.798075
0.6,0.79969
0.61,0.802106
0.62,0.805258
0.63,0.808965
0.64,0.812591
0.65,0.813171
0.66,0.81514
0.67,0.820885
0.68,0.82322
0.69,0.826996
0.7,0.825017
0.71,0.824435
0.72,0.82384
0.73,0.82808
0.74,0.831207
0.75,0.827496
0.76,0.830155
0.77,0.83182
0.78,0.833304
0.79,0.831005
0.8,0.831473
0.81,0.833813
0.82,0.838017
0.83,0.834047
0.84,0.832785
0.85,0.838434
0.86,0.840257
0.87,0.843004
0.88,0.848424
0.89,0.851495
0.9,0.853703
0.91,0.867215
0.92,0.865506
0.93,0.865488
0.94,0.870779
0.95,0.870364
0.96,0.87629
0.97,0.878732
0.98,0.884948
0.99,0.899816
1.0,0.920027
