a,fitness
0.0,0.526218
0.01,0.545881
0.02,0.55479
0.03,0.558957
0.04,0.564591
0.05,0.569109
0.06,0.573854
0.07,0.577412
0.08,0.580106
0.09,0.586396
0.1,0.590862
0.11,0.594029
0.12,0.596939
0.13,0.601943
0.14,0.606956
0.15,0.611851
0.16,0.617554
0.17,0.620691
0.18,0.62696
0.19,0.630704
0.2,0.635002
0.21,0.640092
0.22,0.646278
0.23,0.649165
0.24,0.653226
0.25,0.65775
0.26,0.665516
0.27,0.67089
0.28,0.675143
0.29,0.678949
0.3,0.68484
0.31,0.689673
0.32,0.692743
0.33,0.695957
0.34,0.700434
0.35,0.702966
0.36,0.705597
0.37,0.709129
0.38,0.712639
0.39,0.7202
0.4,0.724215
0.41,0.730691
0.42,0.736203
0.43,0.738407
0.44,0.741577
0.45,0.746101
0.46,0.750644
0.47,0.752203
0.48,0.755766
0.49,0.755022
0.5,0.758048
0.51,0.76347
0.52,0.768398
0.53,0.771266
0.54,0.775203
0.55,0.777791
0.56,0.782104
0.57,0.784723
0.58,0.787311
0.59,0.788608
0.6,0.789117
0.61,0.792313
0.62,0.796436
0.63,0.799476
0.64,0.80258
0.65,0.803603
0.66,0.806665
0.67,0.812034
0.68,0.810332
0.69,0.814014
0.7,0.820488
0.71,0.815347
0.72,0.817896
0.73,0.819041
0.74,0.820633
0.75,0.81742
0.76,0.822155
0.77,0.822999
0.78,0.825082
0.79,0.823674
0.8,0.820084
0.81,0.823317
0.82,0.826587
0.83,0.828235
0.84,0.827888
0.85,0.828057
0.86,0.831309
0.87,0.837082
0.88,0.840998
0.89,0.841548
0.9,0.841051
0.91,0.853816
0.92,0.853088
0.93,0.854001
0.94,0.860847
0.95,0.864041
0.96,0.86539
0.97,0.872211
0.98,0.876494
0.99,0.885774
1.0,0.9056
