a,fitness
0.0,0.578987
0.01,0.599979
0.02,0.60849
0.03,0.612095
0.04,0.618167
0.05,0.623256
0.06,0.628097
0.07,0.632276
0.08,0.634686
0.09,0.639965
0.1,0.645817
0.11,0.648211
0.12,0.651986
0.13,0.658153
0.14,0.661553
0.15,0.666363
0.16,0.671992
0.17,0.675515
0.18,0.681811
0.19,0.685341
0.2,0.690165
0.21,0.695877
0.22,0.700918
0.23,0.705538
0.24,0.709581
0.25,0.713481
0.26,0.721187
0.27,0.726409
0.28,0.730385
0.29,0.733904
0.3,0.738692
0.31,0.744104
0.32,0.746104
0.33,0.749894
0.34,0.756333
0.35,0.759757
0.36,0.761696
0.37,0.765238
0.38,0.767853
0.39,0.77465
0.4,0.778383
0.41,0.78303
0.42,0.788641
0.43,0.792468
0.44,0.793984
0.45,0.800354
0.46,0.803133
0.47,0.806848
0.48,0.810349
0.49,0.808758
0.5,0.813101
0.51,0.81954
0.52,0.820434
0.53,0.822947
0.54,0.827061
0.55,0.830978
0.56,0.83451
0.57,0.837805
0.58,0.839123
0.59,0.841475
0.6,0.842029
0.61,0.843824
0.62,0.847592
0.63,0.850947
0.64,0.855183
0.65,0.855793
0.66,0.856815
0.67,0.860629
0.68,0.861592
0.69,0.863531
0.7,0.865533
0.71,0.863803
0.72,0.863877
0.73,0.866125
0.74,0.869843
0.75,0.867551
0.76,0.871032
0.77,0.871783
0.78,0.872018
0.79,0.870284
0.8,0.869338
0.81,0.870151
0.82,0.875012
0.83,0.875045
0.84,0.875199
0.85,0.876411
0.86,0.881084
0.87,0.879879
0.88,0.88324
0.89,0.88771
0.9,0.890053
0.91,0.905419
0.92,0.903997
0.93,0.902183
0.94,0.90985
0.95,0.913886
0.96,0.919632
0.97,0.92689
0.98,0.929474
0.99,0.943207
1.0,0.961961
