a,fitness
0.0,0.31305
0.01,0.323018
0.02,0.330812
0.03,0.334669
0.04,0.34088
0.05,0.347788
0.06,0.351738
0.07,0.356127
0.08,0.360288
0.09,0.365146
0.1,0.369914
0.11,0.375341
0.12,0.37871
0.13,0.383344
0.14,0.387281
0.15,0.39237
0.16,0.397563
0.17,0.402733
0.18,0.408337
0.19,0.413272
0.2,0.41794
0.21,0.424243
0.22,0.428031
0.23,0.433338
0.24,0.438501
0.25,0.4442
0.26,0.450004
0.27,0.455506
0.28,0.459914
0.29,0.465178
0.3,0.471869
0.31,0.475791
0.32,0.479915
0.33,0.485486
0.34,0.488404
0.35,0.493816
0.36,0.50009
0.37,0.50692
0.38,0.512039
0.39,0.516586
0.4,0.521532
0.41,0.528914
0.42,0.533833
0.43,0.539006
0.44,0.542975
0.45,0.548326
0.46,0.555672
0.47,0.561139
0.48,0.566303
0.49,0.572645
0.5,0.580061
0.51,0.585831
0.52,0.590438
0.53,0.593962
0.54,0.599466
0.55,0.606224
0.56,0.61018
0.57,0.614247
0.58,0.621562
0.59,0.629359
0.6,0.634031
0.61,0.637745
0.62,0.642172
0.63,0.64326
0.64,0.648834
0.65,0.653661
0.66,0.658816
0.67,0.663481
0.68,0.669704
0.69,0.673163
0.7,0.676154
0.71,0.679414
0.72,0.684501
0.73,0.690302
0.74,0.695783
0.75,0.6989
0.76,0.702287
0.77,0.705758
0.78,0.710087
0.79,0.714622
0.8,0.715555
0.81,0.717211
0.82,0.719263
0.83,0.721812
0.84,0.723903
0.85,0.724652
0.86,0.725883
0.87,0.726433
0.88,0.72736
0.89,0.726533
0.9,0.725345
0.91,0.724726
0.92,0.722349
0.93,0.719857
0.94,0.718319
0.95,0.710465
0.96,0.704673
0.97,0.699257
0.98,0.692544
0.99,0.690734
1.0,0.693444
